,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7996,4,0,0
2,7990,10,0,0
3,7983,17,0,0
4,7972,28,0,0
5,7962,37,1,0
6,7950,46,4,0
7,7938,52,10,0
8,7922,61,17,0
9,7900,72,28,0
10,7879,83,38,0
11,7858,92,50,0
12,7835,103,62,0
13,7807,115,78,0
14,7783,117,100,0
15,7756,123,121,0
16,7724,134,142,0
17,7685,150,165,0
18,7646,161,193,0
19,7605,178,217,0
20,7561,195,244,0
21,7518,206,276,0
22,7472,213,315,0
23,7422,224,354,0
24,7368,237,395,0
25,7323,238,439,0
26,7269,249,482,0
27,7214,258,528,0
28,7166,256,578,0
29,7112,256,632,0
30,7051,271,677,1
31,6986,282,731,1
32,6917,296,786,1
33,6847,318,834,1
34,6775,335,888,2
35,6697,352,948,3
36,6622,362,1013,3
37,6542,373,1082,3
38,6454,391,1152,3
39,6374,400,1223,3
40,6286,411,1300,3
41,6204,418,1375,3
42,6120,422,1455,3
43,6021,432,1543,4
44,5917,455,1623,5
45,5820,464,1711,5
46,5731,470,1793,6
47,5642,472,1877,9
48,5555,461,1975,9
49,5459,454,2078,9
50,5391,425,2175,9
51,5339,389,2263,9
52,5304,337,2349,10
53,5276,278,2436,10
54,5241,216,2532,11
55,5209,178,2600,13
56,5177,156,2652,15
57,5151,148,2686,15
58,5121,150,2714,15
59,5090,145,2748,17
60,5065,140,2778,17
61,5041,134,2808,17
62,5014,135,2834,17
63,4989,130,2864,17
64,4960,130,2893,17
65,4932,133,2918,17
66,4901,140,2942,17
67,4872,142,2969,17
68,4851,138,2994,17
69,4830,130,3023,17
70,4806,126,3051,17
71,4794,107,3082,17
72,4786,86,3111,17
73,4777,74,3132,17
74,4768,62,3153,17
75,4760,46,3177,17
76,4751,43,3189,17
77,4741,45,3197,17
78,4731,46,3206,17
79,4722,46,3215,17
80,4711,49,3223,17
81,4705,46,3232,17
82,4702,39,3242,17
83,4701,30,3252,17
84,4699,23,3261,17
85,4695,16,3272,17
86,4689,16,3278,17
87,4685,17,3281,17
88,4682,19,3282,17
89,4681,18,3284,17
90,4677,18,3288,17
91,4673,16,3294,17
92,4672,13,3298,17
93,4671,11,3301,17
94,4669,12,3302,17
95,4668,9,3306,17
96,4667,6,3310,17
97,4666,6,3311,17
98,4666,5,3312,17
99,4666,3,3314,17
100,4666,2,3315,17
101,4666,1,3316,17
102,4666,0,3317,17
