,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7994,3,0,3
2,7987,6,0,7
3,7975,13,0,12
4,7962,22,0,16
5,7947,32,1,20
6,7927,44,3,26
7,7908,59,6,27
8,7889,68,13,30
9,7867,79,22,32
10,7839,92,33,36
11,7813,102,47,38
12,7786,107,65,42
13,7760,114,81,45
14,7733,118,101,48
15,7698,127,125,50
16,7667,131,149,53
17,7637,136,172,55
18,7603,144,195,58
19,7574,147,219,60
20,7538,146,252,64
21,7501,152,280,67
22,7460,163,308,69
23,7413,176,339,72
24,7361,199,366,74
25,7311,215,398,76
26,7256,233,432,79
27,7207,242,471,80
28,7153,249,515,83
29,7086,265,565,84
30,7034,267,613,86
31,6984,263,665,88
32,6939,257,713,91
33,6896,248,764,92
34,6851,225,830,94
35,6804,221,880,95
36,6760,215,928,97
37,6703,227,970,100
38,6646,241,1012,101
39,6588,253,1055,104
40,6529,265,1101,105
41,6467,283,1143,107
42,6401,294,1197,108
43,6327,310,1253,110
44,6246,336,1308,110
45,6159,363,1366,112
46,6075,387,1426,112
47,5977,418,1491,114
48,5887,435,1563,115
49,5806,434,1644,116
50,5747,406,1729,118
51,5691,376,1813,120
52,5653,318,1909,120
53,5632,247,1998,123
54,5617,181,2078,124
55,5599,142,2135,124
56,5583,103,2189,125
57,5567,79,2227,127
58,5551,76,2245,128
59,5534,77,2259,130
60,5522,71,2277,130
61,5511,66,2292,131
62,5496,67,2306,131
63,5489,58,2321,132
64,5480,50,2336,134
65,5473,45,2348,134
66,5466,40,2358,136
67,5461,30,2373,136
68,5455,28,2379,138
69,5450,26,2386,138
70,5446,22,2393,139
71,5444,18,2398,140
72,5443,14,2403,140
73,5440,12,2407,141
74,5439,8,2412,141
75,5437,7,2415,141
76,5435,8,2416,141
77,5434,7,2417,142
78,5433,6,2419,142
79,5432,5,2420,143
80,5430,4,2422,144
81,5429,3,2424,144
82,5428,3,2424,145
83,5427,2,2425,146
84,5426,3,2425,146
85,5426,2,2426,146
86,5424,2,2427,147
87,5422,3,2427,148
88,5422,3,2427,148
89,5421,2,2428,149
90,5419,3,2428,150
91,5419,2,2429,150
92,5418,1,2430,151
93,5417,1,2430,152
94,5416,2,2430,152
95,5415,1,2431,153
96,5414,1,2431,154
97,5414,1,2431,154
98,5413,1,2431,155
99,5413,0,2432,155
