,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7996,4,0,0
2,7984,8,0,8
3,7978,12,0,10
4,7966,17,0,17
5,7954,25,1,20
6,7935,34,4,27
7,7925,38,8,29
8,7908,45,12,35
9,7892,54,17,37
10,7871,62,26,41
11,7848,73,38,41
12,7820,90,46,44
13,7786,110,57,47
14,7757,124,71,48
15,7726,134,88,52
16,7693,142,111,54
17,7651,156,136,57
18,7612,162,167,59
19,7563,180,195,62
20,7520,194,222,64
21,7476,203,253,68
22,7437,200,292,71
23,7395,203,329,73
24,7343,206,375,76
25,7291,213,416,80
26,7238,224,456,82
27,7186,238,492,84
28,7124,257,532,87
29,7059,271,581,89
30,7002,278,629,91
31,6949,278,680,93
32,6906,270,730,94
33,6862,253,789,96
34,6815,237,852,96
35,6765,229,907,99
36,6721,220,958,101
37,6676,222,1000,102
38,6619,235,1042,104
39,6562,243,1089,106
40,6502,256,1136,106
41,6438,277,1178,107
42,6380,289,1222,109
43,6317,296,1277,110
44,6253,303,1332,112
45,6191,303,1392,114
46,6124,306,1455,115
47,6047,326,1511,116
48,5981,328,1573,118
49,5927,319,1635,119
50,5897,287,1695,121
51,5868,249,1761,122
52,5833,206,1837,124
53,5817,157,1901,125
54,5798,122,1954,126
55,5773,117,1982,128
56,5749,111,2010,130
57,5724,102,2043,131
58,5698,111,2058,133
59,5670,120,2076,134
60,5640,125,2099,136
61,5604,139,2121,136
62,5563,153,2145,139
63,5523,168,2169,140
64,5487,176,2196,141
65,5450,185,2224,141
66,5406,191,2260,143
67,5374,184,2298,144
68,5345,173,2337,145
69,5326,157,2372,145
70,5312,133,2409,146
71,5299,104,2451,146
72,5287,84,2482,147
73,5278,65,2510,147
74,5268,54,2529,149
75,5258,50,2542,150
76,5253,42,2555,150
77,5245,38,2566,151
78,5238,35,2575,152
79,5233,31,2583,153
80,5231,24,2592,153
81,5226,23,2597,154
82,5223,18,2604,155
83,5220,14,2610,156
84,5220,10,2614,156
85,5218,10,2616,156
86,5215,8,2620,157
87,5211,9,2622,158
88,5207,10,2624,159
89,5206,11,2624,159
90,5204,10,2626,160
91,5202,9,2628,161
92,5201,7,2631,161
93,5201,4,2634,161
94,5201,3,2635,161
95,5201,2,2636,161
96,5201,1,2637,161
97,5201,0,2638,161
