,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7995,5,0,0
2,7989,11,0,0
3,7982,18,0,0
4,7970,30,0,0
5,7959,40,1,0
6,7944,51,5,0
7,7927,62,11,0
8,7905,77,18,0
9,7887,83,30,0
10,7868,91,41,0
11,7847,97,56,0
12,7824,103,73,0
13,7802,103,95,0
14,7777,110,113,0
15,7748,120,132,0
16,7717,130,153,0
17,7685,139,176,0
18,7653,149,198,0
19,7614,163,223,0
20,7567,181,252,0
21,7521,196,283,0
22,7465,220,315,0
23,7401,252,347,0
24,7342,272,386,0
25,7292,275,433,0
26,7239,281,479,1
27,7178,286,535,1
28,7116,282,599,3
29,7056,283,658,3
30,6999,290,708,3
31,6936,301,760,3
32,6864,311,821,4
33,6797,317,881,5
34,6730,324,941,5
35,6642,355,998,5
36,6559,375,1061,5
37,6478,385,1132,5
38,6389,408,1198,5
39,6302,427,1265,6
40,6225,416,1353,6
41,6146,412,1436,6
42,6072,405,1517,6
43,5984,404,1606,6
44,5895,407,1692,6
45,5806,419,1769,6
46,5714,432,1848,6
47,5633,439,1922,6
48,5546,435,2010,9
49,5465,426,2099,10
50,5419,383,2188,10
51,5394,316,2280,10
52,5380,249,2361,10
53,5361,184,2445,10
54,5346,119,2525,10
55,5333,86,2571,10
56,5319,75,2596,10
57,5305,75,2610,10
58,5288,73,2629,10
59,5276,70,2644,10
60,5270,63,2657,10
61,5258,61,2671,10
62,5248,57,2685,10
63,5242,46,2702,10
64,5237,38,2714,11
65,5232,37,2720,11
66,5230,27,2732,11
67,5228,19,2742,11
68,5227,14,2748,11
69,5227,10,2752,11
70,5227,5,2757,11
71,5226,4,2759,11
72,5226,2,2761,11
73,5226,1,2762,11
74,5226,1,2762,11
75,5226,1,2762,11
76,5226,0,2763,11
