,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7997,3,0,0
2,7995,5,0,0
3,7988,12,0,0
4,7981,19,0,0
5,7972,27,1,0
6,7960,37,3,0
7,7943,52,5,0
8,7922,66,12,0
9,7902,79,19,0
10,7881,91,28,0
11,7856,104,40,0
12,7837,106,57,0
13,7813,109,78,0
14,7790,112,98,0
15,7765,116,119,0
16,7737,118,144,1
17,7709,127,163,1
18,7673,139,187,1
19,7633,156,210,1
20,7594,170,235,1
21,7553,184,262,1
22,7509,197,290,4
23,7463,205,326,6
24,7414,214,366,6
25,7368,221,405,6
26,7315,232,446,7
27,7258,248,487,7
28,7199,262,531,8
29,7139,272,580,9
30,7074,291,626,9
31,7010,303,678,9
32,6939,317,735,9
33,6869,329,793,9
34,6800,336,852,12
35,6728,343,917,12
36,6649,352,981,18
37,6574,355,1052,19
38,6505,351,1122,22
39,6432,357,1188,23
40,6353,363,1260,24
41,6271,372,1333,24
42,6185,384,1407,24
43,6096,405,1473,26
44,6003,426,1545,26
45,5911,439,1623,27
46,5799,465,1705,31
47,5699,478,1791,32
48,5602,486,1878,34
49,5507,488,1971,34
50,5448,456,2062,34
51,5404,392,2170,34
52,5361,336,2269,34
53,5326,276,2364,34
54,5291,216,2459,34
55,5259,186,2518,37
56,5230,170,2562,38
57,5202,154,2605,39
58,5178,143,2640,39
59,5154,132,2675,39
60,5131,126,2704,39
61,5115,114,2732,39
62,5101,101,2759,39
63,5084,94,2783,39
64,5072,82,2807,39
65,5059,72,2830,39
66,5045,70,2846,39
67,5036,65,2860,39
68,5025,59,2877,39
69,5013,59,2889,39
70,5004,55,2902,39
71,4994,51,2916,39
72,4988,48,2925,39
73,4983,42,2936,39
74,4979,34,2948,39
75,4973,31,2957,39
76,4970,24,2967,39
77,4967,21,2973,39
78,4962,21,2978,39
79,4959,20,2982,39
80,4955,18,2988,39
81,4949,21,2991,39
82,4944,23,2994,39
83,4940,22,2999,39
84,4933,26,3002,39
85,4926,29,3006,39
86,4918,31,3012,39
87,4911,33,3017,39
88,4903,37,3021,39
89,4895,38,3028,39
90,4886,40,3035,39
91,4879,39,3043,39
92,4877,34,3050,39
93,4872,31,3058,39
94,4868,27,3066,39
95,4859,27,3075,39
96,4852,27,3082,39
97,4846,31,3084,39
98,4839,33,3089,39
99,4831,37,3093,39
100,4821,38,3102,39
101,4809,43,3109,39
102,4801,45,3115,39
103,4789,50,3122,39
104,4776,55,3130,39
105,4769,52,3140,39
106,4762,47,3152,39
107,4751,50,3160,39
108,4742,47,3172,39
109,4731,45,3185,39
110,4718,51,3192,39
111,4705,57,3199,39
112,4698,53,3210,39
113,4690,52,3219,39
114,4681,50,3230,39
115,4674,44,3243,39
116,4666,39,3256,39
117,4660,38,3263,39
118,4652,38,3271,39
119,4646,35,3280,39
120,4639,35,3287,39
121,4634,32,3295,39
122,4629,31,3301,39
123,4628,24,3309,39
124,4621,25,3315,39
125,4610,29,3322,39
126,4601,33,3327,39
127,4593,36,3332,39
128,4585,43,3333,39
129,4578,43,3340,39
130,4571,39,3351,39
131,4564,37,3360,39
132,4557,36,3368,39
133,4554,31,3376,39
134,4551,27,3383,39
135,4549,22,3390,39
136,4546,18,3397,39
137,4543,14,3404,39
138,4540,14,3407,39
139,4538,13,3410,39
140,4534,15,3412,39
141,4532,14,3415,39
142,4531,12,3418,39
143,4530,10,3421,39
144,4528,10,3423,39
145,4526,8,3427,39
146,4524,8,3429,39
147,4521,10,3430,39
148,4520,10,3431,39
149,4520,8,3433,39
150,4519,7,3435,39
151,4518,6,3437,39
152,4518,3,3440,39
153,4518,2,3441,39
154,4517,3,3441,39
155,4517,2,3442,39
156,4517,1,3443,39
157,4517,1,3443,39
158,4516,2,3443,39
159,4514,3,3444,39
160,4513,4,3444,39
161,4512,5,3444,39
162,4512,5,3444,39
163,4511,5,3445,39
164,4511,3,3447,39
165,4510,3,3448,39
166,4509,3,3449,39
167,4509,3,3449,39
168,4509,2,3450,39
169,4509,2,3450,39
170,4507,3,3451,39
171,4506,3,3452,39
172,4504,5,3452,39
173,4500,9,3452,39
174,4496,13,3452,39
175,4492,15,3454,39
176,4486,20,3455,39
177,4484,20,3457,39
178,4482,18,3461,39
179,4481,15,3465,39
180,4479,13,3469,39
181,4478,8,3475,39
182,4477,7,3477,39
183,4477,5,3479,39
184,4476,5,3480,39
185,4475,4,3482,39
186,4473,5,3483,39
187,4469,8,3484,39
188,4465,12,3484,39
189,4462,14,3485,39
190,4458,17,3486,39
191,4456,17,3488,39
192,4454,15,3492,39
193,4451,14,3496,39
194,4444,18,3499,39
195,4436,22,3503,39
196,4429,27,3505,39
197,4420,34,3507,39
198,4414,37,3510,39
199,4405,39,3517,39
200,4397,39,3525,39
201,4394,35,3532,39
202,4390,30,3541,39
203,4384,30,3547,39
204,4380,25,3556,39
205,4376,21,3564,39
206,4375,19,3567,39
207,4372,18,3571,39
208,4370,14,3577,39
209,4368,12,3581,39
210,4364,12,3585,39
211,4361,14,3586,39
212,4358,14,3589,39
213,4357,13,3591,39
214,4355,13,3593,39
215,4352,12,3597,39
216,4349,12,3600,39
217,4345,13,3603,39
218,4341,16,3604,39
219,4338,17,3606,39
220,4331,21,3609,39
221,4327,22,3612,39
222,4323,22,3616,39
223,4319,22,3620,39
224,4316,22,3623,39
225,4313,18,3630,39
226,4305,22,3634,39
227,4298,25,3638,39
228,4293,26,3642,39
229,4286,30,3645,39
230,4275,38,3648,39
231,4267,38,3656,39
232,4263,35,3663,39
233,4259,34,3668,39
234,4253,33,3675,39
235,4246,29,3686,39
236,4242,25,3694,39
237,4238,25,3698,39
238,4233,26,3702,39
239,4227,26,3708,39
240,4221,25,3715,39
241,4213,29,3719,39
242,4206,32,3723,39
243,4195,38,3728,39
244,4186,41,3734,39
245,4181,40,3740,39
246,4175,38,3748,39
247,4172,34,3755,39
248,4171,24,3766,39
249,4170,16,3775,39
250,4169,12,3780,39
251,4169,6,3786,39
252,4169,3,3789,39
253,4169,2,3790,39
254,4169,1,3791,39
255,4169,0,3792,39
