,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7996,4,0,0
2,7991,9,0,0
3,7986,14,0,0
4,7978,22,0,0
5,7968,31,1,0
6,7957,39,4,0
7,7943,48,9,0
8,7925,61,14,0
9,7901,77,22,0
10,7878,90,32,0
11,7856,101,43,0
12,7834,109,57,0
13,7811,111,75,3
14,7785,113,99,3
15,7757,118,122,3
16,7727,124,144,5
17,7692,136,166,6
18,7658,150,186,6
19,7622,160,212,6
20,7582,172,240,6
21,7537,189,268,6
22,7494,198,302,6
23,7447,211,336,6
24,7397,223,372,8
25,7344,235,412,9
26,7282,252,457,9
27,7230,259,500,11
28,7172,270,547,11
29,7105,289,595,11
30,7044,298,647,11
31,6984,296,709,11
32,6927,303,759,11
33,6865,307,817,11
34,6799,306,884,11
35,6745,299,945,11
36,6689,295,1005,11
37,6615,311,1062,12
38,6548,315,1124,13
39,6483,314,1190,13
40,6423,320,1244,13
41,6346,341,1300,13
42,6259,355,1373,13
43,6166,382,1439,13
44,6079,404,1504,13
45,5990,433,1564,13
46,5897,449,1641,13
47,5799,460,1728,13
48,5699,467,1821,13
49,5598,481,1908,13
50,5563,427,1997,13
51,5532,365,2090,13
52,5508,291,2188,13
53,5488,211,2288,13
54,5467,131,2389,13
55,5452,111,2424,13
56,5432,100,2455,13
57,5411,97,2479,13
58,5397,91,2499,13
59,5383,84,2520,13
60,5370,82,2535,13
61,5360,72,2555,13
62,5351,60,2576,13
63,5344,53,2590,13
64,5336,47,2604,13
65,5329,41,2617,13
66,5324,36,2627,13
67,5321,30,2636,13
68,5317,27,2643,13
69,5313,23,2651,13
70,5310,19,2658,13
71,5309,15,2663,13
72,5306,15,2666,13
73,5303,14,2670,13
74,5300,13,2674,13
75,5297,13,2677,13
76,5295,14,2678,13
77,5295,11,2681,13
78,5294,9,2684,13
79,5293,7,2687,13
80,5292,5,2690,13
81,5291,4,2692,13
82,5291,4,2692,13
83,5291,3,2693,13
84,5291,2,2694,13
85,5290,2,2695,13
86,5290,1,2696,13
87,5290,1,2696,13
88,5290,1,2696,13
89,5290,1,2696,13
90,5290,0,2697,13
