,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7995,5,0,0
2,7990,10,0,0
3,7982,18,0,0
4,7972,28,0,0
5,7961,38,1,0
6,7949,46,5,0
7,7934,56,10,0
8,7920,62,18,0
9,7907,65,28,0
10,7889,72,39,0
11,7866,83,51,0
12,7841,93,66,0
13,7819,101,80,0
14,7791,116,93,0
15,7761,128,111,0
16,7732,134,134,0
17,7699,142,159,0
18,7666,153,181,0
19,7633,158,209,0
20,7590,171,239,0
21,7553,179,268,0
22,7513,186,301,0
23,7470,196,334,0
24,7415,218,367,0
25,7364,226,410,0
26,7317,236,447,0
27,7254,259,487,0
28,7200,270,530,0
29,7142,273,585,0
30,7083,281,636,0
31,7024,293,683,0
32,6963,291,746,0
33,6900,300,800,0
34,6829,313,858,0
35,6757,325,917,1
36,6687,336,976,1
37,6616,345,1037,2
38,6533,362,1100,5
39,6455,369,1171,5
40,6378,371,1242,9
41,6296,382,1312,10
42,6210,398,1382,10
43,6124,403,1462,11
44,6030,413,1540,17
45,5944,425,1613,18
46,5862,426,1694,18
47,5770,430,1780,20
48,5687,427,1865,21
49,5596,429,1953,22
50,5544,396,2038,22
51,5511,347,2120,22
52,5476,292,2210,22
53,5451,235,2292,22
54,5427,169,2382,22
55,5396,148,2434,22
56,5366,145,2467,22
57,5340,136,2502,22
58,5309,142,2527,22
59,5281,146,2551,22
60,5254,142,2582,22
61,5231,135,2612,22
62,5208,132,2638,22
63,5184,125,2669,22
64,5157,124,2697,22
65,5134,120,2724,22
66,5114,117,2747,22
67,5097,111,2770,22
68,5084,100,2794,22
69,5070,87,2821,22
70,5054,80,2844,22
71,5041,73,2864,22
72,5028,69,2881,22
73,5015,69,2894,22
74,5003,67,2908,22
75,4991,63,2924,22
76,4984,57,2937,22
77,4978,50,2950,22
78,4971,44,2963,22
79,4961,42,2975,22
80,4954,37,2987,22
81,4950,34,2994,22
82,4942,36,3000,22
83,4933,38,3007,22
84,4925,36,3017,22
85,4919,35,3024,22
86,4912,38,3028,22
87,4902,40,3036,22
88,4896,37,3045,22
89,4893,32,3053,22
90,4890,29,3059,22
91,4885,27,3066,22
92,4879,23,3076,22
93,4875,21,3082,22
94,4872,21,3085,22
95,4872,18,3088,22
96,4870,15,3093,22
97,4866,13,3099,22
98,4863,12,3103,22
99,4858,14,3106,22
100,4855,17,3106,22
101,4852,18,3108,22
102,4850,16,3112,22
103,4846,17,3115,22
104,4845,13,3120,22
105,4844,11,3123,22
106,4843,9,3126,22
107,4843,7,3128,22
108,4843,3,3132,22
109,4843,2,3133,22
110,4843,1,3134,22
111,4843,0,3135,22
