,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7993,4,0,3
2,7983,8,0,9
3,7970,17,0,13
4,7957,25,0,18
5,7940,37,1,22
6,7923,46,4,27
7,7905,58,8,29
8,7882,67,17,34
9,7859,79,25,37
10,7831,88,38,43
11,7807,98,50,45
12,7781,105,66,48
13,7753,114,84,49
14,7718,127,104,51
15,7682,140,126,52
16,7645,153,148,54
17,7607,167,171,55
18,7565,179,198,58
19,7522,188,231,59
20,7477,197,266,60
21,7426,211,301,62
22,7378,221,338,63
23,7326,231,377,66
24,7278,234,419,69
25,7222,243,463,72
26,7163,252,512,73
27,7101,265,559,75
28,7035,280,608,77
29,6978,290,653,79
30,6923,291,706,80
31,6869,286,764,81
32,6821,272,824,83
33,6784,243,888,85
34,6741,229,943,87
35,6694,222,997,87
36,6646,216,1050,88
37,6587,229,1096,88
38,6528,251,1131,90
39,6468,269,1172,91
40,6407,281,1219,93
41,6345,296,1266,93
42,6270,310,1325,95
43,6196,326,1382,96
44,6108,352,1441,99
45,6026,375,1500,99
46,5933,403,1562,102
47,5840,421,1635,104
48,5742,445,1708,105
49,5648,452,1793,107
50,5572,445,1875,108
51,5509,417,1965,109
52,5449,385,2056,110
53,5396,340,2153,111
54,5338,305,2245,112
55,5294,274,2320,112
56,5245,260,2382,113
57,5200,245,2441,114
58,5153,239,2493,115
59,5110,224,2550,116
60,5072,218,2594,116
61,5044,197,2642,117
62,5024,172,2686,118
63,5003,147,2732,118
64,4985,123,2774,118
65,4965,105,2812,118
66,4945,98,2839,118
67,4926,98,2858,118
68,4906,96,2879,119
69,4890,94,2897,119
70,4876,88,2917,119
71,4863,81,2937,119
72,4849,75,2956,120
73,4836,69,2975,120
74,4820,68,2991,121
75,4807,67,3005,121
76,4800,61,3018,121
77,4793,55,3031,121
78,4785,50,3044,121
79,4774,46,3059,121
80,4766,41,3072,121
81,4760,40,3079,121
82,4755,38,3086,121
83,4751,34,3094,121
84,4746,28,3105,121
85,4741,25,3113,121
86,4738,22,3119,121
87,4734,21,3124,121
88,4728,23,3128,121
89,4724,22,3133,121
90,4722,19,3138,121
91,4720,18,3141,121
92,4718,16,3145,121
93,4717,11,3151,121
94,4717,7,3155,121
95,4717,5,3157,121
96,4716,4,3159,121
97,4714,4,3161,121
98,4714,3,3162,121
99,4714,3,3162,121
100,4714,3,3162,121
101,4713,3,3163,121
102,4712,2,3165,121
103,4711,3,3165,121
104,4710,4,3165,121
105,4709,5,3165,121
106,4708,5,3166,121
107,4708,4,3167,121
108,4707,4,3168,121
109,4706,4,3169,121
110,4705,4,3170,121
111,4702,6,3171,121
112,4701,7,3171,121
113,4701,6,3172,121
114,4701,5,3173,121
115,4700,5,3174,121
116,4700,2,3177,121
117,4699,2,3178,121
118,4699,2,3178,121
119,4699,2,3178,121
120,4699,1,3179,121
121,4699,1,3179,121
122,4699,0,3180,121
