,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7994,3,0,3
2,7982,9,0,9
3,7972,15,0,13
4,7962,20,0,18
5,7947,29,1,23
6,7934,36,3,27
7,7920,39,9,32
8,7901,48,15,36
9,7882,57,20,41
10,7862,64,30,44
11,7835,77,39,49
12,7811,89,48,52
13,7783,97,63,57
14,7751,111,77,61
15,7717,123,94,66
16,7683,130,116,71
17,7640,149,137,74
18,7594,168,160,78
19,7547,184,188,81
20,7503,196,217,84
21,7455,213,246,86
22,7402,225,286,87
23,7348,236,328,88
24,7293,246,372,89
25,7239,257,413,91
26,7183,267,459,91
27,7117,279,511,93
28,7051,291,564,94
29,6996,290,618,96
30,6932,302,670,96
31,6873,303,726,98
32,6826,286,790,98
33,6781,265,855,99
34,6724,267,908,101
35,6662,264,972,102
36,6599,270,1029,102
37,6534,287,1076,103
38,6465,311,1120,104
39,6398,323,1175,104
40,6328,332,1236,104
41,6245,352,1299,104
42,6158,375,1363,104
43,6060,405,1431,104
44,5968,430,1498,104
45,5868,460,1568,104
46,5760,484,1651,105
47,5655,502,1738,105
48,5551,508,1836,105
49,5438,528,1928,106
50,5352,513,2028,107
51,5289,469,2135,107
52,5241,411,2240,108
53,5209,339,2344,108
54,5192,243,2456,109
55,5179,171,2541,109
56,5165,122,2604,109
57,5152,87,2651,110
58,5140,66,2683,111
59,5130,60,2699,111
60,5120,57,2712,111
61,5106,57,2726,111
62,5094,57,2738,111
63,5081,59,2749,111
64,5071,59,2759,111
65,5063,57,2769,111
66,5059,47,2783,111
67,5055,39,2795,111
68,5051,30,2808,111
69,5049,22,2818,111
70,5046,17,2826,111
71,5043,16,2830,111
72,5040,15,2834,111
73,5035,16,2838,111
74,5033,16,2840,111
75,5030,16,2843,111
76,5026,17,2846,111
77,5023,17,2849,111
78,5021,14,2854,111
79,5021,12,2856,111
80,5020,10,2859,111
81,5019,7,2863,111
82,5017,6,2866,111
83,5014,7,2868,111
84,5013,8,2868,111
85,5012,8,2869,111
86,5012,7,2870,111
87,5012,5,2872,111
88,5012,2,2875,111
89,5012,1,2876,111
90,5012,0,2877,111
