,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7991,4,0,5
2,7982,10,0,8
3,7966,20,0,14
4,7953,29,0,18
5,7937,39,1,23
6,7919,51,4,26
7,7897,62,10,31
8,7877,68,20,35
9,7854,77,29,40
10,7831,86,40,43
11,7800,97,55,48
12,7774,103,72,51
13,7741,118,88,53
14,7705,135,106,54
15,7672,146,126,56
16,7634,157,152,57
17,7596,169,175,60
18,7559,172,206,63
19,7512,179,241,68
20,7473,185,272,70
21,7429,190,309,72
22,7384,196,344,76
23,7340,205,378,77
24,7293,206,420,81
25,7252,208,457,83
26,7204,210,499,87
27,7152,219,540,89
28,7094,230,583,93
29,7034,245,626,95
30,6978,259,665,98
31,6924,266,709,101
32,6876,262,759,103
33,6832,251,813,104
34,6777,243,871,109
35,6721,245,924,110
36,6676,237,975,112
37,6624,241,1021,114
38,6571,248,1064,117
39,6508,261,1114,117
40,6441,270,1169,120
41,6369,297,1212,122
42,6292,324,1262,122
43,6208,356,1312,124
44,6125,373,1375,127
45,6037,397,1439,127
46,5946,415,1509,130
47,5858,424,1586,132
48,5764,435,1668,133
49,5671,446,1748,135
50,5602,425,1836,137
51,5553,385,1924,138
52,5517,334,2010,139
53,5495,263,2103,139
54,5479,185,2194,142
55,5466,130,2261,143
56,5455,91,2309,145
57,5446,64,2344,146
58,5437,49,2366,148
59,5433,40,2379,148
60,5424,35,2391,150
61,5417,33,2400,150
62,5410,31,2408,151
63,5408,26,2415,151
64,5403,26,2419,152
65,5399,23,2426,152
66,5395,19,2433,153
67,5391,17,2439,153
68,5387,18,2441,154
69,5385,16,2445,154
70,5383,13,2449,155
71,5383,10,2452,155
72,5379,9,2456,156
73,5378,7,2459,156
74,5377,5,2461,157
75,5375,6,2462,157
76,5373,8,2462,157
77,5370,8,2465,157
78,5368,9,2466,157
79,5367,10,2466,157
80,5366,9,2468,157
81,5364,9,2470,157
82,5362,8,2473,157
83,5360,8,2475,157
84,5358,9,2476,157
85,5353,13,2477,157
86,5352,12,2479,157
87,5349,13,2481,157
88,5347,13,2483,157
89,5345,13,2485,157
90,5340,13,2490,157
91,5335,17,2491,157
92,5330,19,2494,157
93,5325,22,2496,157
94,5317,28,2498,157
95,5310,30,2503,157
96,5303,32,2508,157
97,5298,32,2513,157
98,5292,33,2518,157
99,5286,31,2526,157
100,5280,30,2533,157
101,5275,28,2540,157
102,5272,26,2545,157
103,5269,23,2551,157
104,5265,21,2557,157
105,5263,17,2563,157
106,5263,12,2568,157
107,5261,11,2571,157
108,5260,9,2574,157
109,5259,6,2578,157
110,5259,4,2580,157
111,5258,5,2580,157
112,5254,7,2582,157
113,5252,8,2583,157
114,5250,9,2584,157
115,5248,11,2584,157
116,5246,12,2585,157
117,5246,8,2589,157
118,5246,6,2591,157
119,5245,5,2593,157
120,5244,4,2595,157
121,5244,2,2597,157
122,5244,2,2597,157
123,5244,2,2597,157
124,5244,1,2598,157
125,5244,0,2599,157
