,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7997,3,0,0
2,7995,5,0,0
3,7988,12,0,0
4,7981,19,0,0
5,7972,27,1,0
6,7960,37,3,0
7,7948,47,5,0
8,7938,50,12,0
9,7923,58,19,0
10,7904,68,28,0
11,7888,72,40,0
12,7871,77,52,0
13,7847,91,62,0
14,7821,102,77,0
15,7794,110,96,0
16,7765,123,112,0
17,7737,134,129,0
18,7703,144,153,0
19,7669,152,179,0
20,7636,158,206,0
21,7599,166,235,0
22,7561,176,263,0
23,7515,188,297,0
24,7473,196,331,0
25,7427,209,364,0
26,7374,225,401,0
27,7320,241,439,0
28,7268,247,485,0
29,7206,267,527,0
30,7140,287,573,0
31,7073,301,626,0
32,7007,313,680,0
33,6939,329,732,0
34,6873,333,794,0
35,6814,323,860,3
36,6748,321,927,4
37,6678,324,993,5
38,6608,326,1061,5
39,6532,336,1127,5
40,6450,362,1183,5
41,6374,368,1248,10
42,6294,376,1317,13
43,6210,389,1387,14
44,6117,405,1463,15
45,6024,416,1545,15
46,5938,431,1616,15
47,5844,445,1693,18
48,5752,453,1776,19
49,5659,452,1868,21
50,5602,415,1961,22
51,5556,375,2047,22
52,5519,320,2138,23
53,5489,259,2229,23
54,5464,192,2320,24
55,5438,162,2376,24
56,5415,138,2422,25
57,5395,122,2458,25
58,5379,108,2488,25
59,5363,100,2512,25
60,5348,88,2538,26
61,5342,71,2560,27
62,5329,63,2580,28
63,5320,56,2596,28
64,5313,47,2612,28
65,5305,41,2626,28
66,5299,42,2631,28
67,5293,36,2643,28
68,5285,35,2652,28
69,5279,34,2659,28
70,5275,30,2667,28
71,5270,29,2673,28
72,5267,26,2679,28
73,5260,25,2687,28
74,5250,29,2693,28
75,5244,31,2697,28
76,5238,32,2702,28
77,5232,35,2705,28
78,5230,30,2712,28
79,5228,22,2722,28
80,5222,22,2728,28
81,5217,21,2734,28
82,5214,18,2740,28
83,5212,18,2742,28
84,5207,21,2744,28
85,5200,22,2750,28
86,5197,20,2755,28
87,5192,22,2758,28
88,5188,24,2760,28
89,5184,23,2765,28
90,5180,20,2772,28
91,5180,17,2775,28
92,5179,13,2780,28
93,5177,11,2784,28
94,5176,8,2788,28
95,5174,6,2792,28
96,5173,7,2792,28
97,5172,7,2793,28
98,5171,6,2795,28
99,5169,7,2796,28
100,5168,6,2798,28
101,5166,7,2799,28
102,5162,10,2800,28
103,5160,11,2801,28
104,5159,10,2803,28
105,5158,10,2804,28
106,5157,9,2806,28
107,5157,5,2810,28
108,5156,4,2812,28
109,5155,4,2813,28
110,5155,3,2814,28
111,5155,2,2815,28
112,5155,2,2815,28
113,5155,1,2816,28
114,5155,0,2817,28
