,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7996,4,0,0
2,7990,10,0,0
3,7982,18,0,0
4,7977,23,0,0
5,7966,33,1,0
6,7954,42,4,0
7,7941,49,10,0
8,7923,59,18,0
9,7902,75,23,0
10,7879,87,34,0
11,7854,100,46,0
12,7833,108,59,0
13,7809,114,77,0
14,7780,122,98,0
15,7751,128,121,0
16,7720,134,146,0
17,7680,153,167,0
18,7642,167,191,0
19,7603,174,220,3
20,7569,179,249,3
21,7533,184,280,3
22,7489,188,320,3
23,7447,192,358,3
24,7405,198,394,3
25,7353,216,428,3
26,7308,225,464,3
27,7256,233,508,3
28,7199,248,550,3
29,7142,263,592,3
30,7082,271,644,3
31,7024,284,689,3
32,6967,289,741,3
33,6909,290,798,3
34,6843,299,855,3
35,6775,307,915,3
36,6704,320,973,3
37,6629,338,1030,3
38,6556,353,1088,3
39,6483,360,1154,3
40,6414,361,1222,3
41,6332,369,1293,6
42,6246,379,1368,7
43,6167,385,1441,7
44,6093,386,1514,7
45,6006,404,1583,7
46,5918,413,1662,7
47,5821,424,1747,8
48,5725,441,1826,8
49,5630,462,1900,8
50,5574,431,1987,8
51,5535,382,2075,8
52,5509,312,2171,8
53,5486,239,2267,8
54,5471,159,2362,8
55,5459,115,2418,8
56,5451,84,2457,8
57,5440,69,2483,8
58,5432,54,2506,8
59,5421,50,2521,8
60,5411,48,2533,8
61,5399,52,2541,8
62,5388,52,2552,8
63,5380,52,2560,8
64,5370,51,2571,8
65,5357,54,2581,8
66,5344,55,2593,8
67,5331,57,2604,8
68,5326,54,2612,8
69,5318,52,2622,8
70,5309,48,2635,8
71,5304,40,2648,8
72,5301,30,2661,8
73,5296,30,2666,8
74,5290,28,2674,8
75,5283,26,2683,8
76,5278,26,2688,8
77,5271,30,2691,8
78,5268,28,2696,8
79,5266,24,2702,8
80,5264,19,2709,8
81,5261,17,2714,8
82,5256,15,2721,8
83,5252,16,2724,8
84,5249,17,2726,8
85,5246,18,2728,8
86,5246,15,2731,8
87,5245,11,2736,8
88,5245,7,2740,8
89,5245,4,2743,8
90,5245,1,2746,8
91,5245,1,2746,8
92,5245,0,2747,8
