,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7994,3,0,3
2,7990,5,0,5
3,7977,11,0,12
4,7972,14,0,14
5,7960,18,1,21
6,7952,24,3,21
7,7935,35,5,25
8,7924,40,11,25
9,7906,50,14,30
10,7891,58,19,32
11,7873,66,27,34
12,7851,72,40,37
13,7823,86,51,40
14,7794,100,64,42
15,7764,115,77,44
16,7733,127,93,47
17,7700,140,112,48
18,7666,146,137,51
19,7629,154,164,53
20,7591,162,192,55
21,7548,176,220,56
22,7506,184,252,58
23,7457,199,283,61
24,7410,210,318,62
25,7353,229,354,64
26,7300,239,396,65
27,7246,250,436,68
28,7193,256,482,69
29,7135,264,528,73
30,7082,260,583,75
31,7040,249,635,76
32,6996,240,686,78
33,6956,227,738,79
34,6908,220,792,80
35,6863,214,843,80
36,6817,217,884,82
37,6768,224,926,82
38,6703,248,965,84
39,6636,267,1012,85
40,6566,291,1057,86
41,6485,327,1101,87
42,6407,354,1150,89
43,6330,367,1213,90
44,6247,382,1279,92
45,6146,413,1348,93
46,6059,418,1428,95
47,5964,437,1504,95
48,5870,453,1580,97
49,5778,463,1661,98
50,5709,431,1761,99
51,5647,408,1846,99
52,5596,364,1941,99
53,5555,312,2033,100
54,5519,257,2124,100
55,5486,219,2192,103
56,5453,189,2254,104
57,5413,177,2305,105
58,5379,169,2345,107
59,5345,165,2381,109
60,5314,165,2411,110
61,5274,171,2443,112
62,5243,161,2482,114
63,5210,160,2514,116
64,5180,157,2546,117
65,5156,149,2576,119
66,5133,132,2614,121
67,5114,121,2643,122
68,5096,107,2674,123
69,5084,90,2703,123
70,5073,78,2725,124
71,5059,70,2746,125
72,5045,65,2764,126
73,5027,63,2781,129
74,5015,62,2793,130
75,5007,59,2803,131
76,4997,54,2816,133
77,4990,47,2829,134
78,4982,38,2844,136
79,4976,33,2855,136
80,4970,30,2862,138
81,4966,26,2870,138
82,4963,21,2876,140
83,4961,17,2882,140
84,4959,12,2888,141
85,4957,8,2892,143
86,4957,4,2896,143
87,4955,3,2897,145
88,4954,1,2899,146
89,4954,0,2900,146
