,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7992,3,0,5
2,7985,6,0,9
3,7975,11,0,14
4,7961,21,0,18
5,7943,34,1,22
6,7924,49,3,24
7,7899,68,6,27
8,7875,85,11,29
9,7852,95,21,32
10,7827,104,35,34
11,7799,113,52,36
12,7771,118,74,37
13,7739,126,96,39
14,7710,133,116,41
15,7673,145,139,43
16,7635,155,165,45
17,7596,166,192,46
18,7551,178,222,49
19,7504,196,249,51
20,7459,202,284,55
21,7417,208,320,55
22,7368,215,358,59
23,7313,228,400,59
24,7260,232,445,63
25,7208,243,486,63
26,7149,257,528,66
27,7085,274,573,68
28,7023,279,628,70
29,6962,290,677,71
30,6910,287,729,74
31,6860,281,785,74
32,6810,267,847,76
33,6763,253,907,77
34,6710,243,967,80
35,6663,241,1016,80
36,6602,250,1066,82
37,6543,260,1114,83
38,6487,268,1160,85
39,6421,284,1210,85
40,6350,306,1257,87
41,6292,305,1316,87
42,6233,304,1374,89
43,6167,316,1428,89
44,6096,319,1494,91
45,6021,325,1563,91
46,5944,344,1621,91
47,5858,372,1678,92
48,5776,387,1744,93
49,5688,405,1813,94
50,5639,378,1888,95
51,5609,329,1965,97
52,5579,273,2050,98
53,5554,215,2131,100
54,5532,148,2218,102
55,5507,124,2266,103
56,5485,116,2294,105
57,5468,102,2323,107
58,5452,93,2346,109
59,5443,81,2366,110
60,5428,70,2390,112
61,5416,60,2410,114
62,5409,51,2425,115
63,5402,43,2439,116
64,5393,43,2447,117
65,5387,35,2460,118
66,5382,28,2470,120
67,5377,26,2476,121
68,5368,27,2482,123
69,5361,25,2490,124
70,5350,29,2495,126
71,5333,42,2498,127
72,5316,53,2502,129
73,5297,64,2509,130
74,5277,77,2515,131
75,5256,88,2524,132
76,5236,91,2540,133
77,5211,100,2555,134
78,5179,113,2573,135
79,5158,115,2592,135
80,5134,117,2612,137
81,5103,129,2631,137
82,5069,138,2655,138
83,5039,137,2686,138
84,5012,141,2707,140
85,4985,146,2729,140
86,4949,149,2760,142
87,4924,141,2793,142
88,4901,132,2823,144
89,4879,129,2848,144
90,4859,122,2875,144
91,4836,109,2909,146
92,4820,100,2934,146
93,4801,98,2955,146
94,4783,93,2977,147
95,4763,93,2997,147
96,4743,91,3018,148
97,4725,93,3034,148
98,4710,88,3053,149
99,4698,83,3070,149
100,4688,73,3090,149
101,4674,67,3109,150
102,4661,62,3127,150
103,4652,57,3141,150
104,4644,53,3153,150
105,4638,49,3163,150
106,4634,40,3176,150
107,4633,28,3189,150
108,4632,20,3198,150
109,4632,12,3206,150
110,4632,6,3212,150
111,4632,2,3216,150
112,4632,1,3217,150
113,4632,0,3218,150
