,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7992,3,0,5
2,7987,6,0,7
3,7972,13,0,15
4,7964,20,0,16
5,7944,30,1,25
6,7931,40,3,26
7,7910,52,6,32
8,7886,67,13,34
9,7861,80,20,39
10,7838,88,31,43
11,7815,96,43,46
12,7788,105,58,49
13,7764,103,80,53
14,7738,106,100,56
15,7706,115,119,60
16,7675,125,139,61
17,7639,134,163,64
18,7596,155,183,66
19,7559,166,206,69
20,7524,172,234,70
21,7483,180,264,73
22,7442,186,297,75
23,7400,185,338,77
24,7353,195,372,80
25,7307,206,406,81
26,7255,217,444,84
27,7194,237,483,86
28,7138,251,523,88
29,7069,274,567,90
30,7017,280,612,91
31,6975,272,661,92
32,6931,254,720,95
33,6894,234,774,98
34,6847,212,841,100
35,6802,204,892,102
36,6752,211,933,104
37,6702,217,974,107
38,6642,243,1008,107
39,6582,254,1053,111
40,6532,260,1096,112
41,6473,268,1144,115
42,6410,283,1191,116
43,6342,288,1251,119
44,6282,292,1307,119
45,6218,304,1356,122
46,6143,322,1412,123
47,6056,346,1474,124
48,5972,363,1539,126
49,5895,378,1599,128
50,5846,365,1660,129
51,5798,338,1734,130
52,5764,285,1820,131
53,5737,229,1902,132
54,5714,176,1977,133
55,5701,140,2025,134
56,5685,108,2072,135
57,5677,82,2105,136
58,5668,64,2131,137
59,5662,47,2153,138
60,5658,39,2165,138
61,5650,31,2180,139
62,5643,31,2187,139
63,5636,29,2195,140
64,5631,29,2200,140
65,5628,28,2204,140
66,5625,23,2211,141
67,5624,17,2218,141
68,5622,13,2224,141
69,5619,10,2229,142
70,5618,8,2232,142
71,5615,8,2234,143
72,5612,10,2235,143
73,5609,10,2237,144
74,5607,10,2239,144
75,5606,9,2240,145
76,5606,7,2242,145
77,5606,4,2245,145
78,5604,3,2247,146
79,5602,3,2249,146
80,5600,4,2249,147
81,5599,5,2249,147
82,5596,7,2249,148
83,5592,10,2250,148
84,5587,12,2252,149
85,5583,15,2253,149
86,5580,16,2254,150
87,5574,20,2256,150
88,5571,19,2260,150
89,5569,17,2264,150
90,5566,15,2268,151
91,5565,13,2270,152
92,5565,7,2276,152
93,5565,4,2279,152
94,5565,2,2281,152
95,5565,0,2283,152
