,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7998,1,0,1
2,7993,1,0,6
3,7989,1,0,10
4,7983,2,0,15
5,7978,2,1,19
6,7973,4,1,22
7,7966,6,1,27
8,7956,13,1,30
9,7946,18,2,34
10,7936,23,3,38
11,7923,30,5,42
12,7909,40,7,44
13,7894,44,14,48
14,7883,48,20,49
15,7865,56,26,53
16,7848,63,35,54
17,7824,72,47,57
18,7791,91,58,60
19,7759,109,68,64
20,7721,129,82,68
21,7685,146,98,71
22,7643,162,119,76
23,7601,173,149,77
24,7566,175,177,82
25,7528,178,211,83
26,7486,185,244,85
27,7448,185,281,86
28,7403,186,322,89
29,7356,203,352,89
30,7302,217,389,92
31,7248,230,429,93
32,7186,254,466,94
33,7128,268,508,96
34,7070,277,555,98
35,7009,285,606,100
36,6948,293,659,100
37,6890,289,720,101
38,6828,293,776,103
39,6757,307,832,104
40,6691,314,891,104
41,6624,319,952,105
42,6558,328,1009,105
43,6495,331,1069,105
44,6426,330,1139,105
45,6361,329,1205,105
46,6287,336,1271,106
47,6218,339,1337,106
48,6134,359,1400,107
49,6051,372,1469,108
50,5975,383,1534,108
51,5899,385,1607,109
52,5823,392,1676,109
53,5761,371,1759,109
54,5705,345,1841,109
55,5646,328,1917,109
56,5593,306,1992,109
57,5562,261,2068,109
58,5532,229,2130,109
59,5503,202,2186,109
60,5486,160,2245,109
61,5469,124,2298,109
62,5451,111,2329,109
63,5433,99,2359,109
64,5425,78,2388,109
65,5415,71,2405,109
66,5406,63,2422,109
67,5394,57,2440,109
68,5383,50,2458,109
69,5373,52,2466,109
70,5368,47,2476,109
71,5363,43,2485,109
72,5360,34,2497,109
73,5354,29,2508,109
74,5346,27,2518,109
75,5343,25,2523,109
76,5340,23,2528,109
77,5338,22,2531,109
78,5333,21,2537,109
79,5325,21,2545,109
80,5318,25,2548,109
81,5306,34,2551,109
82,5295,43,2553,109
83,5286,47,2558,109
84,5279,46,2566,109
85,5273,45,2573,109
86,5266,40,2585,109
87,5256,39,2596,109
88,5252,34,2605,109
89,5245,34,2612,109
90,5238,35,2618,109
91,5230,36,2625,109
92,5223,33,2635,109
93,5217,35,2639,109
94,5212,33,2646,109
95,5205,33,2653,109
96,5198,32,2661,109
97,5194,29,2668,109
98,5191,26,2674,109
99,5185,27,2679,109
100,5178,27,2686,109
101,5172,26,2693,109
102,5167,27,2697,109
103,5163,28,2700,109
104,5161,24,2706,109
105,5160,18,2713,109
106,5159,13,2719,109
107,5159,8,2724,109
108,5159,4,2728,109
109,5159,2,2730,109
110,5159,1,2731,109
111,5158,1,2732,109
112,5158,1,2732,109
113,5158,1,2732,109
114,5158,1,2732,109
115,5158,1,2732,109
116,5158,0,2733,109
