,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7997,3,0,0
2,7994,6,0,0
3,7987,13,0,0
4,7977,23,0,0
5,7968,31,1,0
6,7958,39,3,0
7,7943,51,6,0
8,7932,55,13,0
9,7917,60,23,0
10,7897,71,32,0
11,7880,78,42,0
12,7859,84,57,0
13,7842,90,68,0
14,7822,95,83,0
15,7800,97,103,0
16,7775,105,120,0
17,7750,109,141,0
18,7719,123,158,0
19,7683,139,178,0
20,7643,157,200,0
21,7604,171,225,0
22,7560,190,250,0
23,7515,204,281,0
24,7470,213,317,0
25,7429,214,357,0
26,7383,221,396,0
27,7329,231,440,0
28,7265,250,485,0
29,7206,264,530,0
30,7151,275,571,3
31,7096,283,617,4
32,7032,292,671,5
33,6974,286,735,5
34,6917,282,794,7
35,6852,294,846,8
36,6793,298,900,9
37,6721,305,963,11
38,6645,322,1021,12
39,6572,340,1076,12
40,6496,352,1140,12
41,6431,359,1198,12
42,6361,359,1268,12
43,6280,365,1343,12
44,6211,356,1416,17
45,6135,353,1492,20
46,6049,368,1557,26
47,5963,381,1627,29
48,5878,384,1708,30
49,5789,409,1772,30
50,5711,412,1845,32
51,5671,370,1925,34
52,5641,317,2008,34
53,5609,265,2092,34
54,5576,209,2181,34
55,5547,162,2257,34
56,5519,152,2295,34
57,5494,147,2325,34
58,5473,136,2357,34
59,5457,119,2390,34
60,5446,101,2419,34
61,5428,91,2447,34
62,5407,87,2472,34
63,5394,79,2493,34
64,5380,77,2509,34
65,5374,72,2520,34
66,5368,60,2538,34
67,5364,43,2559,34
68,5360,34,2572,34
69,5356,24,2586,34
70,5355,19,2592,34
71,5350,18,2598,34
72,5348,16,2602,34
73,5348,12,2606,34
74,5344,12,2610,34
75,5340,15,2611,34
76,5336,14,2616,34
77,5334,14,2618,34
78,5331,17,2618,34
79,5327,17,2622,34
80,5323,17,2626,34
81,5320,16,2630,34
82,5317,17,2632,34
83,5315,16,2635,34
84,5311,16,2639,34
85,5305,18,2643,34
86,5304,16,2646,34
87,5303,14,2649,34
88,5300,15,2651,34
89,5300,11,2655,34
90,5299,6,2661,34
91,5297,7,2662,34
92,5295,8,2663,34
93,5295,5,2666,34
94,5295,5,2666,34
95,5293,6,2667,34
96,5291,6,2669,34
97,5288,7,2671,34
98,5283,12,2671,34
99,5283,12,2671,34
100,5283,10,2673,34
101,5282,9,2675,34
102,5282,6,2678,34
103,5282,1,2683,34
104,5282,1,2683,34
105,5282,1,2683,34
106,5282,0,2684,34
