,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7998,2,0,0
2,7996,4,0,0
3,7993,7,0,0
4,7988,12,0,0
5,7982,17,1,0
6,7975,23,2,0
7,7966,30,4,0
8,7956,37,7,0
9,7942,46,12,0
10,7927,55,18,0
11,7909,66,25,0
12,7886,77,34,3
13,7863,90,44,3
14,7846,93,58,3
15,7824,100,73,3
16,7796,110,91,3
17,7764,122,111,3
18,7729,134,134,3
19,7686,160,151,3
20,7641,183,173,3
21,7594,202,201,3
22,7553,211,233,3
23,7514,215,268,3
24,7475,211,311,3
25,7429,212,356,3
26,7377,217,403,3
27,7329,224,444,3
28,7282,232,483,3
29,7231,244,522,3
30,7169,260,568,3
31,7113,262,620,5
32,7052,274,668,6
33,6990,288,715,7
34,6923,304,766,7
35,6859,306,828,7
36,6787,323,882,8
37,6710,340,942,8
38,6625,363,1003,9
39,6545,375,1070,10
40,6473,383,1134,10
41,6392,390,1205,13
42,6307,396,1282,15
43,6222,397,1366,15
44,6134,403,1445,18
45,6042,422,1517,19
46,5942,442,1595,21
47,5823,476,1678,23
48,5701,510,1763,26
49,5596,527,1848,29
50,5505,524,1939,32
51,5443,487,2037,33
52,5394,417,2154,35
53,5355,336,2273,36
54,5325,264,2375,36
55,5296,204,2463,37
56,5272,166,2524,38
57,5247,144,2571,38
58,5227,126,2609,38
59,5207,116,2639,38
60,5188,107,2667,38
61,5168,104,2690,38
62,5145,102,2715,38
63,5126,101,2735,38
64,5106,101,2755,38
65,5092,96,2774,38
66,5075,93,2794,38
67,5059,86,2817,38
68,5046,80,2836,38
69,5033,73,2856,38
70,5022,70,2870,38
71,5014,61,2887,38
72,5006,53,2903,38
73,4997,49,2916,38
74,4986,47,2929,38
75,4976,46,2940,38
76,4964,50,2948,38
77,4950,56,2956,38
78,4941,56,2965,38
79,4930,56,2976,38
80,4921,55,2986,38
81,4910,54,2998,38
82,4896,54,3012,38
83,4887,54,3021,38
84,4877,53,3032,38
85,4870,51,3041,38
86,4861,49,3052,38
87,4854,42,3066,38
88,4849,38,3075,38
89,4842,35,3085,38
90,4831,39,3092,38
91,4822,39,3101,38
92,4812,42,3108,38
93,4803,46,3113,38
94,4796,46,3120,38
95,4787,44,3131,38
96,4778,44,3140,38
97,4774,38,3150,38
98,4771,32,3159,38
99,4769,27,3166,38
100,4769,18,3175,38
101,4769,9,3184,38
102,4769,5,3188,38
103,4767,4,3191,38
104,4766,3,3193,38
105,4766,3,3193,38
106,4766,3,3193,38
107,4766,3,3193,38
108,4766,1,3195,38
109,4766,0,3196,38
