,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7996,4,0,0
2,7993,7,0,0
3,7989,11,0,0
4,7983,17,0,0
5,7977,22,1,0
6,7970,26,4,0
7,7962,31,7,0
8,7951,38,11,0
9,7937,46,17,0
10,7923,54,23,0
11,7905,65,30,0
12,7885,77,38,0
13,7864,87,49,0
14,7843,94,63,0
15,7825,98,77,0
16,7805,100,95,0
17,7780,105,115,0
18,7747,117,136,0
19,7717,126,157,0
20,7684,141,175,0
21,7648,157,195,0
22,7611,169,220,0
23,7571,176,253,0
24,7524,193,283,0
25,7478,206,316,0
26,7432,216,352,0
27,7377,234,389,0
28,7316,255,429,0
29,7259,265,476,0
30,7191,287,522,0
31,7124,308,568,0
32,7067,310,623,0
33,7001,312,684,3
34,6935,318,741,6
35,6862,322,809,7
36,6801,314,876,9
37,6736,322,933,9
38,6661,332,996,11
39,6578,351,1059,12
40,6493,364,1131,12
41,6414,382,1190,14
42,6335,395,1255,15
43,6250,406,1328,16
44,6167,407,1410,16
45,6088,401,1495,16
46,6002,410,1572,16
47,5911,422,1650,17
48,5826,423,1734,17
49,5738,428,1817,17
50,5694,392,1896,18
51,5664,335,1982,19
52,5640,268,2072,20
53,5615,208,2157,20
54,5590,144,2245,21
55,5567,124,2288,21
56,5548,114,2317,21
57,5527,112,2340,21
58,5513,101,2365,21
59,5503,87,2389,21
60,5491,76,2412,21
61,5475,73,2431,21
62,5460,67,2452,21
63,5449,64,2466,21
64,5443,60,2476,21
65,5437,54,2488,21
66,5431,44,2504,21
67,5429,31,2519,21
68,5427,22,2530,21
69,5423,20,2536,21
70,5420,17,2542,21
71,5418,13,2548,21
72,5417,12,2550,21
73,5415,12,2552,21
74,5411,12,2556,21
75,5410,10,2559,21
76,5410,8,2561,21
77,5409,8,2562,21
78,5409,6,2564,21
79,5409,2,2568,21
80,5409,1,2569,21
81,5409,1,2569,21
82,5409,0,2570,21
