Step,AgentID,Condition
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
0,8009,Full
0,8010,Full
0,8001,Full
0,8002,Full
0,8003,Full
0,8004,Full
0,8005,Full
0,8006,Full
0,8007,Full
0,8008,Full
