,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7996,4,0,0
2,7990,10,0,0
3,7984,16,0,0
4,7975,25,0,0
5,7965,34,1,0
6,7952,44,4,0
7,7937,53,10,0
8,7920,64,16,0
9,7902,73,25,0
10,7880,85,35,0
11,7862,90,48,0
12,7844,93,63,0
13,7822,98,80,0
14,7794,108,98,0
15,7766,114,120,0
16,7731,131,138,0
17,7696,148,156,0
18,7658,163,178,1
19,7619,174,206,1
20,7578,187,234,1
21,7536,192,269,3
22,7493,199,304,4
23,7448,205,341,6
24,7402,211,380,7
25,7354,217,421,8
26,7305,225,461,9
27,7259,229,503,9
28,7209,236,546,9
29,7151,249,591,9
30,7101,252,638,9
31,7043,262,686,9
32,6982,277,732,9
33,6914,295,782,9
34,6843,308,840,9
35,6767,334,890,9
36,6683,360,948,9
37,6596,386,1009,9
38,6515,399,1077,9
39,6435,408,1148,9
40,6349,417,1224,10
41,6263,418,1308,11
42,6178,414,1395,13
43,6096,412,1476,16
44,6003,424,1556,17
45,5912,428,1641,19
46,5826,427,1726,21
47,5720,448,1809,23
48,5610,479,1888,23
49,5505,492,1980,23
50,5446,461,2069,24
51,5404,419,2153,24
52,5376,343,2257,24
53,5355,254,2367,24
54,5332,172,2472,24
55,5314,132,2530,24
56,5296,108,2572,24
57,5278,98,2600,24
58,5262,91,2621,26
59,5246,84,2644,26
60,5239,73,2662,26
61,5231,63,2680,26
62,5220,56,2698,26
63,5204,57,2712,27
64,5194,51,2728,27
65,5188,50,2735,27
66,5181,49,2743,27
67,5169,50,2754,27
68,5157,47,2769,27
69,5145,49,2779,27
70,5138,50,2785,27
71,5132,48,2792,28
72,5127,41,2804,28
73,5124,32,2816,28
74,5121,23,2828,28
75,5119,18,2835,28
76,5116,16,2840,28
77,5111,16,2845,28
78,5109,15,2848,28
79,5104,17,2851,28
80,5102,17,2853,28
81,5101,15,2856,28
82,5100,11,2861,28
83,5099,10,2863,28
84,5099,5,2868,28
85,5099,3,2870,28
86,5098,2,2871,29
87,5098,1,2872,29
88,5098,0,2873,29
