,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7993,5,0,2
2,7981,10,0,9
3,7969,19,0,12
4,7955,28,0,17
5,7938,40,1,21
6,7919,51,5,25
7,7902,61,10,27
8,7880,70,19,31
9,7859,80,28,33
10,7841,82,41,36
11,7821,85,56,38
12,7798,91,71,40
13,7769,99,89,43
14,7736,111,108,45
15,7696,133,123,48
16,7662,148,141,49
17,7628,159,162,51
18,7593,166,188,53
19,7553,174,219,54
20,7511,175,256,58
21,7465,187,289,59
22,7416,202,321,61
23,7362,220,354,64
24,7308,234,393,65
25,7248,253,431,68
26,7192,262,476,70
27,7134,271,523,72
28,7069,284,574,73
29,6998,299,627,76
30,6961,278,684,77
31,6934,250,738,78
32,6906,221,794,79
33,6883,179,858,80
34,6848,145,926,81
35,6816,140,962,82
36,6778,151,988,83
37,6738,164,1015,83
38,6700,178,1037,85
39,6659,185,1071,85
40,6612,199,1102,87
41,6565,209,1139,87
42,6514,219,1179,88
43,6463,234,1215,88
44,6407,247,1256,90
45,6342,267,1301,90
46,6282,278,1348,92
47,6218,292,1398,92
48,6147,310,1449,94
49,6075,328,1503,94
50,6014,323,1568,95
51,5971,307,1626,96
52,5942,271,1690,97
53,5917,226,1759,98
54,5896,174,1831,99
55,5883,126,1891,100
56,5878,89,1933,100
57,5869,68,1961,102
58,5864,49,1985,102
59,5856,35,2005,104
60,5852,27,2017,104
61,5849,24,2022,105
62,5845,20,2029,106
63,5841,18,2034,107
64,5839,13,2040,108
65,5836,11,2044,109
66,5835,10,2046,109
67,5829,11,2049,111
68,5823,14,2052,111
69,5816,18,2053,113
70,5811,21,2055,113
71,5807,22,2056,115
72,5806,19,2060,115
73,5803,15,2066,116
74,5798,15,2071,116
75,5794,12,2076,118
76,5792,12,2078,118
77,5791,11,2079,119
78,5789,11,2081,119
79,5787,6,2086,121
80,5787,4,2088,121
81,5785,2,2090,123
82,5785,2,2090,123
83,5785,0,2092,123
