,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7994,3,0,3
2,7985,8,0,7
3,7974,16,0,10
4,7962,23,0,15
5,7954,28,1,17
6,7940,37,3,20
7,7925,44,8,23
8,7905,51,16,28
9,7881,64,23,32
10,7858,77,29,36
11,7837,83,40,40
12,7810,94,52,44
13,7773,113,67,47
14,7739,124,87,50
15,7703,138,106,53
16,7668,155,123,54
17,7630,166,146,58
18,7595,167,180,58
19,7549,176,211,64
20,7507,185,244,64
21,7456,198,278,68
22,7409,209,312,70
23,7364,216,347,73
24,7314,225,387,74
25,7261,231,429,79
26,7210,234,476,80
27,7160,236,521,83
28,7105,247,563,85
29,7045,256,612,87
30,6993,257,660,90
31,6939,261,710,90
32,6891,259,757,93
33,6845,252,810,93
34,6793,244,868,95
35,6739,248,917,96
36,6684,247,971,98
37,6626,260,1016,98
38,6571,267,1062,100
39,6507,280,1112,101
40,6444,288,1165,103
41,6371,307,1218,104
42,6302,317,1276,105
43,6225,339,1329,107
44,6147,353,1392,108
45,6068,369,1453,110
46,5975,389,1525,111
47,5880,415,1593,112
48,5787,432,1668,113
49,5686,454,1745,115
50,5599,463,1822,116
51,5531,438,1914,117
52,5472,401,2008,119
53,5422,358,2100,120
54,5380,301,2199,120
55,5355,239,2285,121
56,5338,189,2352,121
57,5312,156,2409,123
58,5294,125,2458,123
59,5277,98,2500,125
60,5267,84,2524,125
61,5257,75,2541,127
62,5242,65,2565,128
63,5230,58,2583,129
64,5221,51,2598,130
65,5209,51,2608,132
66,5197,55,2616,132
67,5188,49,2630,133
68,5174,51,2641,134
69,5162,55,2649,134
70,5147,59,2659,135
71,5133,60,2671,136
72,5124,61,2679,136
73,5118,53,2692,137
74,5113,45,2704,138
75,5108,35,2718,139
76,5106,24,2731,139
77,5103,17,2740,140
78,5100,14,2745,141
79,5098,12,2749,141
80,5097,9,2753,141
81,5097,7,2755,141
82,5096,6,2757,141
83,5095,5,2759,141
84,5094,4,2761,141
85,5094,3,2762,141
86,5094,3,2762,141
87,5094,2,2763,141
88,5094,1,2764,141
89,5094,0,2765,141
