,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7994,3,0,3
2,7987,6,0,7
3,7978,12,0,10
4,7965,20,0,15
5,7952,28,1,19
6,7936,38,3,23
7,7914,53,6,27
8,7890,66,12,32
9,7870,75,20,35
10,7847,85,29,39
11,7823,94,41,42
12,7794,101,59,46
13,7762,112,78,48
14,7733,122,95,50
15,7700,135,114,51
16,7665,147,135,53
17,7627,159,160,54
18,7582,172,190,56
19,7542,183,217,58
20,7499,192,249,60
21,7453,202,282,63
22,7401,215,319,65
23,7342,228,362,68
24,7279,250,400,71
25,7225,261,441,73
26,7166,272,484,78
27,7104,280,534,82
28,7038,287,590,85
29,6973,290,650,87
30,6913,297,702,88
31,6852,302,756,90
32,6793,302,814,91
33,6739,291,877,93
34,6677,289,940,94
35,6616,289,999,96
36,6547,297,1058,98
37,6478,306,1116,100
38,6403,328,1168,101
39,6327,341,1229,103
40,6260,348,1288,104
41,6182,356,1355,107
42,6118,352,1422,108
43,6040,354,1496,110
44,5960,358,1570,112
45,5884,368,1636,112
46,5807,368,1711,114
47,5725,386,1774,115
48,5629,405,1850,116
49,5528,426,1928,118
50,5476,401,2004,119
51,5435,364,2079,122
52,5405,312,2160,123
53,5372,249,2255,124
54,5338,182,2354,126
55,5316,153,2405,126
56,5298,132,2443,127
57,5286,114,2472,128
58,5275,93,2504,128
59,5265,70,2536,129
60,5253,59,2558,130
61,5244,51,2575,130
62,5235,49,2586,130
63,5223,49,2597,131
64,5210,52,2606,132
65,5197,53,2617,133
66,5184,56,2626,134
67,5174,56,2635,135
68,5161,56,2646,137
69,5147,56,2658,139
70,5140,51,2670,139
71,5132,46,2682,140
72,5127,42,2691,140
73,5121,36,2702,141
74,5115,30,2714,141
75,5110,27,2721,142
76,5109,21,2728,142
77,5108,17,2733,142
78,5107,13,2738,142
79,5105,9,2744,142
80,5104,6,2748,142
81,5101,8,2749,142
82,5099,9,2750,142
83,5097,10,2751,142
84,5097,8,2753,142
85,5096,8,2754,142
86,5095,6,2757,142
87,5093,6,2759,142
88,5092,5,2761,142
89,5091,6,2761,142
90,5088,8,2762,142
91,5084,11,2763,142
92,5078,15,2765,142
93,5070,22,2766,142
94,5065,26,2767,142
95,5056,32,2770,142
96,5051,33,2774,142
97,5045,33,2780,142
98,5038,32,2788,142
99,5036,29,2793,142
100,5035,21,2802,142
101,5035,16,2807,142
102,5035,10,2813,142
103,5034,4,2820,142
104,5034,2,2822,142
105,5034,1,2823,142
106,5034,1,2823,142
107,5034,1,2823,142
108,5034,0,2824,142
