,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7995,3,0,2
2,7987,6,0,7
3,7980,9,0,11
4,7969,15,0,16
5,7956,24,1,19
6,7943,31,3,23
7,7925,41,6,28
8,7907,53,9,31
9,7884,67,15,34
10,7862,76,25,37
11,7840,86,34,40
12,7814,96,47,43
13,7790,103,62,45
14,7763,107,82,48
15,7737,113,101,49
16,7700,127,120,53
17,7665,138,143,54
18,7632,145,165,58
19,7588,163,189,60
20,7539,186,214,61
21,7487,203,247,63
22,7437,217,281,65
23,7389,233,310,68
24,7337,242,352,69
25,7291,237,400,72
26,7235,241,450,74
27,7177,250,498,75
28,7120,259,543,78
29,7063,264,594,79
30,7005,277,637,81
31,6940,287,691,82
32,6878,291,748,83
33,6824,289,802,85
34,6772,285,858,85
35,6716,283,914,87
36,6653,281,978,88
37,6591,281,1039,89
38,6525,294,1091,90
39,6447,318,1143,92
40,6373,338,1197,92
41,6295,352,1259,94
42,6218,367,1320,95
43,6139,380,1385,96
44,6055,386,1461,98
45,5967,399,1535,99
46,5865,423,1611,101
47,5767,444,1687,102
48,5652,479,1765,104
49,5533,514,1847,106
50,5456,503,1934,107
51,5398,460,2034,108
52,5353,407,2131,109
53,5307,339,2244,110
54,5273,255,2361,111
55,5241,210,2437,112
56,5224,169,2494,113
57,5210,139,2538,113
58,5198,106,2583,113
59,5183,87,2616,114
60,5173,66,2647,114
61,5158,64,2663,115
62,5147,61,2677,115
63,5134,61,2689,116
64,5124,57,2703,116
65,5112,58,2713,117
66,5097,59,2727,117
67,5085,59,2738,118
68,5074,58,2750,118
69,5067,54,2760,119
70,5058,52,2771,119
71,5046,49,2786,119
72,5035,48,2797,120
73,5030,42,2808,120
74,5025,41,2814,120
75,5016,40,2823,121
76,5012,32,2835,121
77,5008,24,2845,123
78,5005,22,2850,123
79,5003,19,2855,123
80,5002,11,2863,124
81,5002,7,2867,124
82,5000,6,2869,125
83,4998,5,2872,125
84,4996,4,2874,126
85,4994,6,2874,126
86,4994,6,2874,126
87,4993,5,2875,127
88,4993,3,2877,127
89,4992,2,2878,128
90,4992,0,2880,128
