,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7993,3,0,4
2,7985,7,0,8
3,7975,13,0,12
4,7962,21,0,17
5,7950,29,1,20
6,7932,41,3,24
7,7911,55,7,27
8,7889,65,13,33
9,7872,72,21,35
10,7844,84,30,42
11,7816,95,44,45
12,7788,100,62,50
13,7760,108,78,54
14,7731,120,93,56
15,7697,131,114,58
16,7664,137,139,60
17,7628,148,162,62
18,7585,166,186,63
19,7532,187,213,68
20,7483,203,245,69
21,7435,217,276,72
22,7383,233,310,74
23,7324,248,352,76
24,7268,255,400,77
25,7209,262,448,81
26,7150,274,493,83
27,7094,277,543,86
28,7039,274,600,87
29,6975,279,655,91
30,6927,271,710,92
31,6882,256,767,95
32,6847,237,820,96
33,6815,213,874,98
34,6796,172,934,98
35,6768,150,981,101
36,6748,127,1023,102
37,6722,118,1057,103
38,6687,122,1087,104
39,6653,135,1106,106
40,6626,137,1131,106
41,6602,141,1150,107
42,6570,147,1175,108
43,6535,146,1209,110
44,6498,151,1241,110
45,6460,161,1268,111
46,6423,173,1291,113
47,6386,179,1322,113
48,6342,189,1355,114
49,6297,196,1392,115
50,6246,208,1429,117
51,6206,213,1464,117
52,6167,213,1501,119
53,6150,186,1544,120
54,6140,150,1588,122
55,6134,106,1637,123
56,6127,70,1677,126
57,6118,41,1714,127
58,6115,28,1730,127
59,6111,21,1738,130
60,6108,17,1743,132
61,6107,13,1747,133
62,6104,6,1755,135
63,6101,4,1758,137
64,6101,3,1759,137
65,6098,2,1760,140
66,6097,2,1760,141
67,6096,1,1761,142
68,6096,0,1762,142
