,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7995,5,0,0
2,7988,12,0,0
3,7979,20,0,1
4,7968,21,0,11
5,7958,27,1,14
6,7945,32,1,22
7,7931,39,1,29
8,7918,43,1,38
9,7903,52,2,43
10,7884,65,7,44
11,7864,67,17,52
12,7838,82,24,56
13,7815,93,33,59
14,7785,105,45,65
15,7755,117,59,69
16,7719,134,75,72
17,7679,145,96,80
18,7639,163,113,85
19,7600,175,137,88
20,7559,184,163,94
21,7517,191,194,98
22,7475,195,227,103
23,7426,206,261,107
24,7385,208,295,112
25,7344,206,332,118
26,7304,201,370,125
27,7258,208,406,128
28,7197,222,449,132
29,7135,243,486,136
30,7075,264,524,137
31,7018,278,563,141
32,6955,297,606,142
33,6891,297,664,148
34,6815,310,724,151
35,6760,303,781,156
36,6697,309,831,163
37,6635,311,887,167
38,6564,323,945,168
39,6486,325,1018,171
40,6400,355,1071,174
41,6319,371,1131,179
42,6238,391,1189,182
43,6145,416,1255,184
44,6055,426,1330,189
45,5964,429,1416,191
46,5872,438,1495,195
47,5787,441,1573,199
48,5699,436,1661,204
49,5601,446,1746,207
50,5548,408,1832,212
51,5512,354,1918,216
52,5484,297,2000,219
53,5460,232,2087,221
54,5427,165,2183,225
55,5400,141,2232,227
56,5382,124,2264,230
57,5371,106,2289,234
58,5355,93,2312,240
59,5344,72,2340,244
60,5338,50,2362,250
61,5334,40,2374,252
62,5328,37,2383,252
63,5319,33,2396,252
64,5307,34,2404,255
65,5298,35,2410,257
66,5288,36,2414,262
67,5279,39,2417,265
68,5271,41,2420,268
69,5264,34,2429,273
70,5256,29,2436,279
71,5250,27,2441,282
72,5243,24,2446,287
73,5239,17,2450,294
74,5230,19,2455,296
75,5221,19,2459,301
76,5211,26,2460,303
77,5202,27,2463,308
78,5193,26,2464,317
79,5189,22,2468,321
80,5183,19,2473,325
81,5179,10,2478,333
82,5173,8,2480,339
83,5170,4,2481,345
84,5166,5,2481,348
85,5162,8,2482,348
86,5159,10,2483,348
87,5157,6,2484,353
88,5156,0,2484,360
