,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7994,4,0,2
2,7986,8,0,6
3,7975,15,0,10
4,7962,25,0,13
5,7950,32,1,17
6,7939,38,4,19
7,7920,49,8,23
8,7905,55,15,25
9,7887,61,25,27
10,7866,72,33,29
11,7847,80,42,31
12,7823,85,57,35
13,7795,99,70,36
14,7757,116,86,41
15,7726,127,105,42
16,7693,142,122,43
17,7658,155,142,45
18,7617,167,169,47
19,7579,170,202,49
20,7542,175,232,51
21,7496,186,264,54
22,7453,195,297,55
23,7408,197,336,59
24,7365,203,372,60
25,7309,222,407,62
26,7252,233,450,65
27,7197,244,492,67
28,7133,264,533,70
29,7080,274,575,71
30,7033,265,629,73
31,6982,259,683,76
32,6932,255,736,77
33,6880,244,797,79
34,6825,245,849,81
35,6764,259,894,83
36,6697,278,942,83
37,6630,295,991,84
38,6558,314,1041,87
39,6475,344,1094,87
40,6391,366,1153,90
41,6311,378,1220,91
42,6223,398,1286,93
43,6136,415,1355,94
44,6049,417,1438,96
45,5960,424,1519,97
46,5870,434,1598,98
47,5772,443,1684,101
48,5670,458,1770,102
49,5560,481,1855,104
50,5494,457,1943,106
51,5451,410,2032,107
52,5413,351,2127,109
53,5378,283,2228,111
54,5350,203,2336,111
55,5327,161,2400,112
56,5309,135,2442,114
57,5298,110,2478,114
58,5284,89,2511,116
59,5270,74,2539,117
60,5251,70,2561,118
61,5233,71,2577,119
62,5214,77,2588,121
63,5202,77,2600,121
64,5192,72,2613,123
65,5186,59,2631,124
66,5181,46,2648,125
67,5176,34,2665,125
68,5170,26,2677,127
69,5164,23,2685,128
70,5159,22,2690,129
71,5156,20,2694,130
72,5150,19,2699,132
73,5145,20,2703,132
74,5132,26,2708,134
75,5125,28,2712,135
76,5118,32,2714,136
77,5111,35,2718,136
78,5105,35,2723,137
79,5101,28,2734,137
80,5097,25,2740,138
81,5094,22,2746,138
82,5089,19,2753,139
83,5088,15,2758,139
84,5086,12,2762,140
85,5085,10,2765,140
86,5084,7,2768,141
87,5084,3,2772,141
88,5083,2,2773,142
89,5083,1,2774,142
90,5083,0,2775,142
