,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7997,3,0,0
2,7994,6,0,0
3,7989,11,0,0
4,7983,17,0,0
5,7977,22,1,0
6,7967,30,3,0
7,7955,39,6,0
8,7941,48,11,0
9,7924,59,17,0
10,7906,71,23,0
11,7886,81,33,0
12,7866,89,45,0
13,7842,99,59,0
14,7814,110,76,0
15,7784,122,94,0
16,7752,134,114,0
17,7715,151,134,0
18,7676,166,158,0
19,7638,176,186,0
20,7596,188,216,0
21,7556,196,248,0
22,7512,201,285,2
23,7472,202,324,2
24,7425,210,362,3
25,7375,218,404,3
26,7322,230,444,4
27,7270,240,486,4
28,7214,256,526,4
29,7162,262,572,4
30,7100,274,622,4
31,7041,281,674,4
32,6980,290,726,4
33,6920,294,782,4
34,6862,298,834,6
35,6805,292,896,7
36,6744,294,955,7
37,6685,292,1016,7
38,6617,300,1076,7
39,6531,330,1132,7
40,6440,365,1188,7
41,6357,387,1249,7
42,6270,415,1308,7
43,6179,438,1376,7
44,6093,438,1462,7
45,6002,438,1553,7
46,5905,451,1636,8
47,5812,455,1723,10
48,5723,452,1814,11
49,5624,464,1900,12
50,5582,413,1991,14
51,5556,342,2087,15
52,5527,280,2178,15
53,5500,219,2266,15
54,5480,141,2364,15
55,5466,115,2404,15
56,5455,101,2429,15
57,5445,82,2458,15
58,5434,66,2485,15
59,5427,53,2505,15
60,5420,46,2519,15
61,5415,40,2530,15
62,5410,35,2540,15
63,5403,31,2551,15
64,5402,25,2558,15
65,5401,19,2565,15
66,5401,14,2570,15
67,5401,9,2575,15
68,5401,2,2582,15
69,5401,1,2583,15
70,5401,0,2584,15
