,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7997,3,0,0
2,7993,7,0,0
3,7988,12,0,0
4,7982,18,0,0
5,7978,20,1,1
6,7971,25,3,1
7,7958,33,7,2
8,7946,39,12,3
9,7931,48,18,3
10,7912,64,21,3
11,7892,77,28,3
12,7868,89,40,3
13,7844,102,51,3
14,7815,116,66,3
15,7780,130,85,5
16,7752,138,105,5
17,7719,146,129,6
18,7679,160,153,8
19,7648,161,182,9
20,7612,164,215,9
21,7572,176,243,9
22,7526,190,275,9
23,7480,198,313,9
24,7429,219,343,9
25,7373,238,379,10
26,7318,253,419,10
27,7263,262,465,10
28,7207,272,511,10
29,7144,284,562,10
30,7081,292,617,10
31,7016,302,672,10
32,6954,309,727,10
33,6893,314,783,10
34,6830,314,846,10
35,6764,317,909,10
36,6690,325,974,11
37,6620,331,1036,13
38,6555,335,1097,13
39,6487,340,1160,13
40,6410,351,1226,13
41,6336,351,1299,14
42,6253,366,1367,14
43,6175,379,1432,14
44,6092,394,1500,14
45,5991,418,1577,14
46,5891,445,1650,14
47,5791,462,1733,14
48,5692,483,1811,14
49,5589,503,1894,14
50,5499,492,1995,14
51,5436,454,2095,15
52,5389,401,2195,15
53,5348,343,2294,15
54,5319,269,2397,15
55,5298,200,2487,15
56,5274,162,2549,15
57,5257,132,2596,15
58,5240,108,2637,15
59,5223,96,2666,15
60,5208,90,2687,15
61,5189,85,2711,15
62,5172,85,2728,15
63,5160,80,2745,15
64,5147,76,2762,15
65,5139,69,2777,15
66,5132,57,2796,15
67,5126,46,2813,15
68,5124,36,2825,15
69,5121,26,2838,15
70,5119,20,2846,15
71,5117,15,2853,15
72,5114,12,2859,15
73,5110,14,2861,15
74,5110,11,2864,15
75,5108,11,2866,15
76,5103,14,2868,15
77,5099,15,2871,15
78,5098,12,2875,15
79,5097,13,2875,15
80,5097,11,2877,15
81,5095,8,2882,15
82,5092,7,2886,15
83,5091,7,2887,15
84,5088,9,2888,15
85,5085,12,2888,15
86,5081,14,2890,15
87,5076,16,2893,15
88,5073,18,2894,15
89,5071,17,2897,15
90,5068,17,2900,15
91,5068,13,2904,15
92,5066,10,2909,15
93,5063,10,2912,15
94,5060,11,2914,15
95,5059,9,2917,15
96,5058,10,2917,15
97,5057,9,2919,15
98,5057,6,2922,15
99,5056,4,2925,15
100,5054,5,2926,15
101,5053,5,2927,15
102,5053,4,2928,15
103,5053,4,2928,15
104,5053,3,2929,15
105,5053,1,2931,15
106,5053,0,2932,15
