,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7991,5,0,4
2,7982,11,0,7
3,7968,18,0,14
4,7959,25,0,16
5,7943,33,1,23
6,7929,41,5,25
7,7911,48,11,30
8,7889,60,18,33
9,7869,70,25,36
10,7847,82,34,37
11,7818,97,46,39
12,7789,108,59,44
13,7758,118,78,46
14,7724,130,95,51
15,7690,140,116,54
16,7655,145,143,57
17,7617,154,167,62
18,7575,163,196,66
19,7531,175,225,69
20,7485,190,256,69
21,7435,203,288,74
22,7387,218,321,74
23,7345,218,359,78
24,7301,221,400,78
25,7243,229,446,82
26,7182,244,491,83
27,7132,245,539,84
28,7078,258,577,87
29,7017,273,621,89
30,6959,274,675,92
31,6914,259,735,92
32,6863,258,784,95
33,6807,263,835,95
34,6752,256,894,98
35,6702,251,949,98
36,6648,258,994,100
37,6588,269,1042,101
38,6531,269,1098,102
39,6481,267,1150,102
40,6418,278,1200,104
41,6352,291,1252,105
42,6287,296,1311,106
43,6221,305,1367,107
44,6152,323,1417,108
45,6066,348,1478,108
46,5983,365,1543,109
47,5902,382,1607,109
48,5819,400,1672,109
49,5736,415,1740,109
50,5661,403,1826,110
51,5606,376,1908,110
52,5558,341,1989,112
53,5518,297,2072,113
54,5478,253,2155,114
55,5444,212,2229,115
56,5427,173,2284,116
57,5413,140,2330,117
58,5403,110,2369,118
59,5393,81,2408,118
60,5385,54,2441,120
61,5380,42,2457,121
62,5371,36,2470,123
63,5364,34,2479,123
64,5356,30,2489,125
65,5349,30,2495,126
66,5342,32,2499,127
67,5341,26,2506,127
68,5335,23,2513,129
69,5330,22,2519,129
70,5322,23,2525,130
71,5315,22,2531,132
72,5314,21,2532,133
73,5313,18,2536,133
74,5306,19,2541,134
75,5301,16,2548,135
76,5299,13,2553,135
77,5296,15,2553,136
78,5294,16,2554,136
79,5290,12,2560,138
80,5287,11,2564,138
81,5285,10,2566,139
82,5285,8,2568,139
83,5282,8,2570,140
84,5280,7,2572,141
85,5279,4,2575,142
86,5276,5,2576,143
87,5273,6,2576,145
88,5271,5,2578,146
89,5268,6,2579,147
90,5267,6,2579,148
91,5264,5,2581,150
92,5263,5,2582,150
93,5261,5,2583,151
94,5261,3,2585,151
95,5260,4,2585,151
96,5258,4,2586,152
97,5257,3,2587,153
98,5256,2,2588,154
99,5256,2,2588,154
100,5254,2,2589,155
101,5253,2,2590,155
102,5253,2,2590,155
103,5253,2,2590,155
104,5253,2,2590,155
105,5253,1,2591,155
106,5253,0,2592,155
