,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7998,2,0,0
2,7995,5,0,0
3,7989,11,0,0
4,7979,21,0,0
5,7970,29,1,0
6,7960,38,2,0
7,7951,44,5,0
8,7937,52,11,0
9,7923,56,21,0
10,7906,64,30,0
11,7886,74,40,0
12,7862,89,49,0
13,7839,98,63,0
14,7818,105,77,0
15,7794,112,94,0
16,7759,127,114,0
17,7721,141,138,0
18,7682,157,161,0
19,7644,174,182,0
20,7604,190,206,0
21,7560,199,241,0
22,7513,208,279,0
23,7469,213,318,0
24,7424,220,356,0
25,7374,230,396,0
26,7318,242,440,0
27,7252,261,487,0
28,7185,284,531,0
29,7127,297,576,0
30,7065,309,626,0
31,7005,313,682,0
32,6943,309,748,0
33,6884,301,815,0
34,6824,303,873,0
35,6749,316,935,0
36,6676,329,995,0
37,6599,344,1057,0
38,6530,354,1116,0
39,6463,361,1176,0
40,6390,358,1251,1
41,6310,364,1324,2
42,6230,366,1401,3
43,6143,384,1470,3
44,6043,417,1537,3
45,5936,450,1609,5
46,5836,469,1688,7
47,5734,486,1767,13
48,5635,496,1854,15
49,5540,490,1954,16
50,5447,476,2059,18
51,5355,469,2157,19
52,5297,430,2253,20
53,5250,380,2350,20
54,5218,317,2444,21
55,5189,255,2535,21
56,5160,193,2626,21
57,5120,175,2683,22
58,5096,152,2730,22
59,5081,136,2761,22
60,5061,126,2790,23
61,5048,110,2819,23
62,5029,90,2858,23
63,5014,81,2882,23
64,5000,80,2897,23
65,4988,73,2916,23
66,4976,72,2929,23
67,4962,67,2948,23
68,4951,63,2963,23
69,4939,61,2977,23
70,4923,65,2989,23
71,4910,66,3001,23
72,4900,62,3015,23
73,4895,56,3026,23
74,4890,49,3038,23
75,4886,37,3054,23
76,4881,29,3067,23
77,4877,23,3077,23
78,4874,21,3082,23
79,4871,19,3087,23
80,4868,18,3091,23
81,4868,13,3096,23
82,4868,9,3100,23
83,4868,6,3103,23
84,4868,3,3106,23
85,4868,0,3109,23
