,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7996,4,0,0
2,7992,8,0,0
3,7986,14,0,0
4,7981,19,0,0
5,7974,25,1,0
6,7963,33,4,0
7,7952,40,8,0
8,7939,47,14,0
9,7918,63,19,0
10,7896,78,26,0
11,7874,89,37,0
12,7854,98,48,0
13,7832,107,61,0
14,7805,113,82,0
15,7778,118,104,0
16,7760,114,126,0
17,7737,117,146,0
18,7703,129,168,0
19,7669,136,195,0
20,7630,148,222,0
21,7595,165,240,0
22,7552,185,263,0
23,7508,195,297,0
24,7456,213,331,0
25,7401,229,370,0
26,7350,245,405,0
27,7299,253,448,0
28,7250,258,492,0
29,7195,261,544,0
30,7135,266,599,0
31,7071,279,650,0
32,7008,291,701,0
33,6945,304,750,1
34,6872,322,805,1
35,6802,331,865,2
36,6736,333,929,2
37,6670,336,992,2
38,6591,353,1054,2
39,6507,363,1127,3
40,6434,367,1196,3
41,6346,384,1262,8
42,6260,403,1328,9
43,6178,405,1407,10
44,6094,403,1490,13
45,6007,417,1563,13
46,5914,427,1646,13
47,5821,435,1731,13
48,5732,442,1812,14
49,5642,451,1893,14
50,5573,432,1980,15
51,5509,401,2073,17
52,5464,353,2166,17
53,5428,301,2254,17
54,5395,243,2344,18
55,5367,203,2412,18
56,5334,174,2474,18
57,5312,151,2519,18
58,5297,130,2555,18
59,5288,107,2587,18
60,5278,88,2615,19
61,5268,65,2648,19
62,5258,53,2670,19
63,5247,48,2685,20
64,5236,50,2694,20
65,5233,44,2703,20
66,5229,38,2713,20
67,5224,33,2723,20
68,5220,27,2733,20
69,5216,20,2744,20
70,5215,18,2747,20
71,5214,15,2751,20
72,5213,11,2756,20
73,5211,9,2760,20
74,5210,6,2764,20
75,5209,6,2765,20
76,5207,7,2766,20
77,5206,7,2767,20
78,5205,6,2769,20
79,5204,6,2770,20
80,5204,5,2771,20
81,5203,4,2773,20
82,5203,3,2774,20
83,5202,3,2775,20
84,5201,3,2776,20
85,5201,3,2776,20
86,5201,2,2777,20
87,5201,2,2777,20
88,5201,1,2778,20
89,5201,0,2779,20
