,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7997,3,0,0
2,7994,6,0,0
3,7990,10,0,0
4,7984,16,0,0
5,7979,20,1,0
6,7973,24,3,0
7,7965,29,6,0
8,7954,36,10,0
9,7941,43,16,0
10,7924,55,21,0
11,7907,66,27,0
12,7888,77,35,0
13,7861,93,46,0
14,7836,105,59,0
15,7809,115,76,0
16,7785,122,93,0
17,7752,136,112,0
18,7719,142,139,0
19,7684,152,164,0
20,7652,156,191,1
21,7617,167,215,1
22,7579,172,248,1
23,7537,180,281,2
24,7494,188,316,2
25,7444,207,347,2
26,7397,219,382,2
27,7349,229,420,2
28,7298,239,461,2
29,7256,238,504,2
30,7210,234,554,2
31,7157,240,601,2
32,7094,255,649,2
33,7021,277,700,2
34,6955,301,742,2
35,6886,324,788,2
36,6822,332,841,5
37,6754,337,904,5
38,6683,334,977,6
39,6604,347,1043,6
40,6512,369,1112,7
41,6428,392,1173,7
42,6344,407,1241,8
43,6256,425,1311,8
44,6169,433,1390,8
45,6073,438,1481,8
46,5992,435,1565,8
47,5902,442,1648,8
48,5815,441,1736,8
49,5726,443,1823,8
50,5653,420,1919,8
51,5609,381,2000,10
52,5572,327,2090,11
53,5541,270,2177,12
54,5521,201,2266,12
55,5509,140,2339,12
56,5497,110,2381,12
57,5488,83,2417,12
58,5477,64,2447,12
59,5463,58,2467,12
60,5449,60,2479,12
61,5440,57,2491,12
62,5427,61,2500,12
63,5416,61,2511,12
64,5405,58,2525,12
65,5394,55,2539,12
66,5379,61,2548,12
67,5368,59,2561,12
68,5362,54,2572,12
69,5356,49,2583,12
70,5350,44,2594,12
71,5342,37,2609,12
72,5338,30,2620,12
73,5335,27,2626,12
74,5334,22,2632,12
75,5331,19,2638,12
76,5328,14,2646,12
77,5326,12,2650,12
78,5323,12,2653,12
79,5322,12,2654,12
80,5320,11,2657,12
81,5320,8,2660,12
82,5319,7,2662,12
83,5318,5,2665,12
84,5317,5,2666,12
85,5316,4,2668,12
86,5314,6,2668,12
87,5312,7,2669,12
88,5310,8,2670,12
89,5308,9,2671,12
90,5305,11,2672,12
91,5303,11,2674,12
92,5302,10,2676,12
93,5302,8,2678,12
94,5301,7,2680,12
95,5301,4,2683,12
96,5300,3,2685,12
97,5299,3,2686,12
98,5299,3,2686,12
99,5299,2,2687,12
100,5299,2,2687,12
101,5299,1,2688,12
102,5299,0,2689,12
