,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7996,4,0,0
2,7992,8,0,0
3,7987,13,0,0
4,7979,21,0,0
5,7970,29,1,0
6,7961,35,4,0
7,7950,42,8,0
8,7933,54,13,0
9,7914,65,21,0
10,7893,77,30,0
11,7872,88,39,1
12,7851,96,50,3
13,7831,97,67,5
14,7812,97,86,5
15,7783,105,107,5
16,7759,109,127,5
17,7721,128,146,5
18,7682,148,164,6
19,7649,162,183,6
20,7611,171,212,6
21,7571,187,236,6
22,7525,195,274,6
23,7481,201,312,6
24,7439,210,345,6
25,7393,218,383,6
26,7350,221,423,6
27,7292,233,469,6
28,7232,249,513,6
29,7171,268,555,6
30,7113,280,601,6
31,7054,296,644,6
32,6996,296,702,6
33,6940,292,762,6
34,6882,289,823,6
35,6820,293,881,6
36,6749,305,940,6
37,6678,318,998,6
38,6605,335,1054,6
39,6530,352,1112,6
40,6457,363,1174,6
41,6381,368,1245,6
42,6297,381,1316,6
43,6218,387,1389,6
44,6132,398,1464,6
45,6038,419,1537,6
46,5947,434,1613,6
47,5858,439,1697,6
48,5770,448,1776,6
49,5678,454,1862,6
50,5621,417,1956,6
51,5575,372,2047,6
52,5538,320,2136,6
53,5502,268,2224,6
54,5469,209,2316,6
55,5441,180,2373,6
56,5417,158,2419,6
57,5394,144,2456,6
58,5384,118,2492,6
59,5369,100,2525,6
60,5354,87,2553,6
61,5346,71,2577,6
62,5337,57,2600,6
63,5330,54,2610,6
64,5321,48,2625,6
65,5315,39,2640,6
66,5310,36,2648,6
67,5304,33,2657,6
68,5297,33,2664,6
69,5291,30,2673,6
70,5283,32,2679,6
71,5279,31,2684,6
72,5275,29,2690,6
73,5270,27,2697,6
74,5266,25,2703,6
75,5259,24,2711,6
76,5254,25,2715,6
77,5249,26,2719,6
78,5243,27,2724,6
79,5242,24,2728,6
80,5240,19,2735,6
81,5238,16,2740,6
82,5238,11,2745,6
83,5238,5,2751,6
84,5237,5,2752,6
85,5236,4,2754,6
86,5235,3,2756,6
87,5234,4,2756,6
88,5233,5,2756,6
89,5232,5,2757,6
90,5231,5,2758,6
91,5231,4,2759,6
92,5231,3,2760,6
93,5230,3,2761,6
94,5230,2,2762,6
95,5230,1,2763,6
96,5230,1,2763,6
97,5230,1,2763,6
98,5230,0,2764,6
