,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7991,4,0,5
2,7984,9,0,7
3,7970,16,0,14
4,7957,26,0,17
5,7940,36,1,23
6,7924,46,4,26
7,7904,56,9,31
8,7888,62,16,34
9,7865,72,26,37
10,7838,86,37,39
11,7810,100,50,40
12,7779,112,65,44
13,7748,129,78,45
14,7712,142,98,48
15,7673,153,123,51
16,7642,155,150,53
17,7604,164,177,55
18,7572,163,207,58
19,7533,167,240,60
20,7489,174,276,61
21,7445,187,305,63
22,7392,203,341,64
23,7334,229,370,67
24,7283,242,407,68
25,7224,256,450,70
26,7165,271,492,72
27,7107,275,544,74
28,7053,273,599,75
29,6996,279,649,76
30,6950,267,706,77
31,6911,248,763,78
32,6864,237,819,80
33,6814,233,872,81
34,6761,229,928,82
35,6707,236,973,84
36,6652,253,1011,84
37,6591,268,1056,85
38,6530,280,1105,85
39,6466,291,1157,86
40,6400,305,1209,86
41,6335,313,1264,88
42,6269,319,1324,88
43,6193,333,1385,89
44,6121,341,1448,90
45,6047,348,1514,91
46,5964,366,1577,93
47,5890,374,1643,93
48,5814,374,1718,94
49,5740,377,1789,94
50,5686,357,1862,95
51,5658,303,1943,96
52,5637,250,2017,96
53,5616,195,2092,97
54,5597,140,2166,97
55,5578,105,2219,98
56,5564,91,2246,99
57,5549,84,2267,100
58,5534,79,2287,100
59,5520,73,2306,101
60,5506,68,2324,102
61,5491,70,2337,102
62,5480,67,2351,102
63,5465,67,2366,102
64,5447,72,2379,102
65,5432,74,2392,102
66,5421,70,2407,102
67,5408,72,2418,102
68,5399,66,2433,102
69,5388,59,2451,102
70,5381,51,2466,102
71,5374,47,2477,102
72,5368,40,2490,102
73,5360,39,2499,102
74,5354,34,2510,102
75,5348,33,2517,102
76,5345,29,2524,102
77,5345,23,2530,102
78,5342,18,2538,102
79,5341,13,2544,102
80,5339,9,2550,102
81,5337,8,2553,102
82,5333,12,2553,102
83,5332,10,2556,102
84,5329,12,2557,102
85,5327,12,2559,102
86,5326,11,2561,102
87,5324,9,2565,102
88,5321,11,2566,102
89,5317,12,2569,102
90,5315,12,2571,102
91,5313,13,2572,102
92,5308,16,2574,102
93,5299,22,2577,102
94,5296,21,2581,102
95,5290,25,2583,102
96,5285,28,2585,102
97,5283,25,2590,102
98,5278,21,2599,102
99,5276,20,2602,102
100,5274,16,2608,102
101,5271,14,2613,102
102,5270,13,2615,102
103,5265,13,2620,102
104,5261,15,2622,102
105,5259,15,2624,102
106,5255,16,2627,102
107,5254,16,2628,102
108,5253,12,2633,102
109,5253,8,2637,102
110,5253,6,2639,102
111,5253,2,2643,102
112,5253,1,2644,102
113,5253,0,2645,102
