,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7998,2,0,0
2,7996,4,0,0
3,7992,6,0,2
4,7990,8,0,2
5,7986,11,1,2
6,7979,16,2,3
7,7968,24,4,4
8,7957,33,6,4
9,7945,43,8,4
10,7931,53,12,4
11,7913,65,18,4
12,7895,73,28,4
13,7875,82,39,4
14,7854,91,51,4
15,7827,104,65,4
16,7797,116,83,4
17,7774,121,101,4
18,7745,130,121,4
19,7712,142,142,4
20,7673,154,169,4
21,7637,160,199,4
22,7599,175,222,4
23,7570,175,251,4
24,7535,177,284,4
25,7496,177,323,4
26,7452,185,359,4
27,7401,198,397,4
28,7353,217,426,4
29,7299,236,461,4
30,7241,255,500,4
31,7185,267,544,4
32,7125,276,595,4
33,7061,292,643,4
34,6990,309,697,4
35,6918,323,755,4
36,6852,333,811,4
37,6778,347,871,4
38,6700,361,935,4
39,6622,368,1006,4
40,6542,376,1078,4
41,6466,386,1144,4
42,6385,393,1218,4
43,6298,402,1296,4
44,6220,402,1374,4
45,6136,406,1454,4
46,6038,428,1530,4
47,5943,442,1611,4
48,5837,461,1698,4
49,5743,477,1776,4
50,5672,462,1860,6
51,5604,432,1958,6
52,5542,395,2053,10
53,5515,316,2159,10
54,5492,245,2253,10
55,5474,194,2322,10
56,5458,142,2390,10
57,5440,102,2448,10
58,5424,91,2475,10
59,5414,78,2498,10
60,5407,67,2516,10
61,5397,61,2532,10
62,5377,63,2550,10
63,5360,64,2566,10
64,5340,74,2576,10
65,5324,83,2583,10
66,5309,88,2593,10
67,5291,86,2613,10
68,5276,84,2630,10
69,5264,76,2650,10
70,5245,79,2666,10
71,5237,72,2681,10
72,5225,66,2699,10
73,5216,60,2714,10
74,5205,59,2726,10
75,5194,51,2745,10
76,5185,52,2753,10
77,5172,53,2765,10
78,5158,58,2774,10
79,5148,57,2785,10
80,5135,59,2796,10
81,5130,55,2805,10
82,5119,53,2818,10
83,5110,48,2832,10
84,5101,47,2842,10
85,5093,42,2855,10
86,5085,45,2860,10
87,5073,46,2871,10
88,5067,43,2880,10
89,5061,40,2889,10
90,5052,41,2897,10
91,5047,38,2905,10
92,5040,33,2917,10
93,5035,32,2923,10
94,5032,29,2929,10
95,5027,25,2938,10
96,5022,25,2943,10
97,5020,20,2950,10
98,5015,20,2955,10
99,5009,23,2958,10
100,5005,22,2963,10
101,4999,23,2968,10
102,4995,25,2970,10
103,4992,23,2975,10
104,4989,20,2981,10
105,4983,22,2985,10
106,4980,19,2991,10
107,4976,19,2995,10
108,4974,18,2998,10
109,4974,15,3001,10
110,4973,10,3007,10
111,4973,7,3010,10
112,4972,4,3014,10
113,4972,2,3016,10
114,4971,3,3016,10
115,4971,2,3017,10
116,4971,2,3017,10
117,4971,1,3018,10
118,4970,2,3018,10
119,4970,1,3019,10
120,4970,1,3019,10
121,4970,1,3019,10
122,4970,1,3019,10
123,4969,1,3020,10
124,4969,1,3020,10
125,4969,1,3020,10
126,4969,1,3020,10
127,4969,1,3020,10
128,4968,1,3021,10
129,4968,1,3021,10
130,4968,1,3021,10
131,4967,2,3021,10
132,4967,2,3021,10
133,4967,1,3022,10
134,4967,1,3022,10
135,4967,1,3022,10
136,4967,0,3023,10
