,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7994,4,0,2
2,7984,8,0,8
3,7975,13,0,12
4,7963,19,0,18
5,7953,25,1,21
6,7942,30,4,24
7,7930,35,8,27
8,7914,43,13,30
9,7894,56,19,31
10,7870,69,26,35
11,7851,80,34,35
12,7824,93,43,40
13,7798,106,56,40
14,7765,115,75,45
15,7736,123,95,46
16,7694,141,114,51
17,7656,157,136,51
18,7613,168,162,57
19,7577,175,190,58
20,7539,180,218,63
21,7496,186,255,63
22,7446,194,293,67
23,7404,199,330,67
24,7353,212,365,70
25,7294,236,398,72
26,7232,253,441,74
27,7171,265,487,77
28,7105,287,529,79
29,7038,303,577,82
30,6984,297,634,85
31,6929,290,694,87
32,6866,293,752,89
33,6805,289,816,90
34,6745,282,880,93
35,6672,303,931,94
36,6594,326,984,96
37,6513,345,1045,97
38,6425,371,1105,99
39,6341,397,1162,100
40,6249,415,1234,102
41,6159,429,1310,102
42,6059,446,1390,105
43,5956,463,1476,105
44,5858,475,1559,108
45,5761,482,1649,108
46,5666,484,1739,111
47,5564,489,1836,111
48,5465,482,1939,114
49,5357,495,2034,114
50,5279,474,2131,116
51,5237,424,2223,116
52,5199,359,2325,117
53,5170,291,2421,118
54,5145,207,2529,119
55,5125,150,2605,120
56,5108,124,2647,121
57,5090,104,2684,122
58,5073,92,2712,123
59,5056,84,2736,124
60,5041,80,2755,124
61,5023,81,2771,125
62,5005,82,2788,125
63,4992,78,2804,126
64,4982,72,2820,126
65,4970,68,2835,127
66,4967,54,2852,127
67,4963,39,2870,128
68,4961,29,2882,128
69,4958,21,2892,129
70,4957,11,2903,129
71,4956,8,2906,130
72,4955,6,2909,130
73,4954,5,2911,130
74,4953,4,2913,130
75,4951,5,2914,130
76,4948,7,2914,131
77,4947,7,2915,131
78,4946,7,2916,131
79,4943,9,2917,131
80,4939,11,2919,131
81,4934,14,2921,131
82,4934,13,2922,131
83,4932,14,2923,131
84,4932,11,2926,131
85,4932,7,2930,131
86,4931,3,2935,131
87,4931,3,2935,131
88,4929,3,2937,131
89,4929,3,2937,131
90,4929,3,2937,131
91,4929,2,2938,131
92,4929,2,2938,131
93,4929,0,2940,131
