,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7995,3,0,2
2,7988,6,0,6
3,7978,12,0,10
4,7967,19,0,14
5,7954,27,1,18
6,7937,39,3,21
7,7920,49,6,25
8,7904,55,12,29
9,7884,64,19,33
10,7864,71,28,37
11,7835,82,42,41
12,7803,98,55,44
13,7773,112,67,48
14,7745,122,83,50
15,7714,133,99,54
16,7680,141,124,55
17,7638,151,153,58
18,7601,160,179,60
19,7562,170,205,63
20,7522,182,232,64
21,7469,198,265,68
22,7416,210,304,70
23,7358,231,339,72
24,7302,248,375,75
25,7257,253,414,76
26,7204,253,463,80
27,7142,263,514,81
28,7074,273,570,83
29,7005,287,623,85
30,6954,292,667,87
31,6920,277,716,87
32,6876,258,777,89
33,6836,231,843,90
34,6788,210,910,92
35,6743,205,959,93
36,6697,216,993,94
37,6649,220,1035,96
38,6598,232,1074,96
39,6539,244,1120,97
40,6481,256,1164,99
41,6418,272,1209,101
42,6349,294,1255,102
43,6272,319,1306,103
44,6194,337,1364,105
45,6112,361,1420,107
46,6024,387,1481,108
47,5932,410,1549,109
48,5833,431,1625,111
49,5734,453,1701,112
50,5623,483,1781,113
51,5530,488,1868,114
52,5433,494,1959,114
53,5346,483,2056,115
54,5279,452,2154,115
55,5218,403,2264,115
56,5162,366,2356,116
57,5121,310,2453,116
58,5077,267,2539,117
59,5040,237,2606,117
60,5010,206,2667,117
61,4978,182,2722,118
62,4954,165,2763,118
63,4929,146,2806,119
64,4911,127,2843,119
65,4891,116,2873,120
66,4877,99,2904,120
67,4867,84,2928,121
68,4858,69,2952,121
69,4847,61,2970,122
70,4834,55,2989,122
71,4825,49,3003,123
72,4817,48,3012,123
73,4811,44,3021,124
74,4807,38,3031,124
75,4801,30,3044,125
76,4797,26,3052,125
77,4791,23,3060,126
78,4788,21,3065,126
79,4784,20,3069,127
80,4783,16,3074,127
81,4782,12,3078,128
82,4781,8,3083,128
83,4779,6,3086,129
84,4779,3,3089,129
85,4778,2,3090,130
86,4778,2,3090,130
87,4778,1,3091,130
88,4778,0,3092,130
