,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7993,4,0,3
2,7981,10,0,9
3,7969,18,0,13
4,7956,26,0,18
5,7944,34,1,21
6,7931,40,4,25
7,7912,48,10,30
8,7891,57,18,34
9,7873,64,26,37
10,7849,74,35,42
11,7824,87,44,45
12,7797,95,58,50
13,7773,99,75,53
14,7745,108,90,57
15,7713,119,109,59
16,7682,126,131,61
17,7650,134,153,63
18,7608,152,174,66
19,7573,163,198,66
20,7541,162,228,69
21,7496,175,257,72
22,7446,192,287,75
23,7394,204,326,76
24,7346,215,361,78
25,7297,234,390,79
26,7249,239,432,80
27,7195,244,479,82
28,7141,246,530,83
29,7088,250,576,86
30,7038,252,624,86
31,6993,248,671,88
32,6955,233,723,89
33,6911,222,776,91
34,6874,208,826,92
35,6823,207,876,94
36,6762,223,919,96
37,6712,234,956,98
38,6664,239,998,99
39,6607,256,1034,103
40,6547,266,1083,104
41,6487,265,1142,106
42,6431,271,1190,108
43,6370,283,1237,110
44,6303,297,1290,110
45,6233,305,1349,113
46,6162,317,1407,114
47,6083,341,1461,115
48,6014,351,1520,115
49,5945,352,1587,116
50,5919,309,1654,118
51,5898,259,1724,119
52,5882,196,1802,120
53,5869,138,1871,122
54,5856,80,1939,125
55,5852,60,1963,125
56,5848,42,1983,127
57,5844,30,1998,128
58,5839,21,2009,131
59,5836,14,2019,131
60,5830,14,2023,133
61,5824,15,2025,136
62,5821,15,2028,136
63,5817,15,2030,138
64,5813,15,2033,139
65,5811,12,2037,140
66,5809,11,2040,140
67,5808,8,2043,141
68,5806,8,2045,141
69,5803,7,2048,142
70,5799,9,2049,143
71,5797,9,2051,143
72,5794,11,2051,144
73,5790,12,2053,145
74,5787,13,2055,145
75,5784,12,2058,146
76,5780,13,2060,147
77,5776,15,2062,147
78,5774,13,2065,148
79,5772,11,2068,149
80,5771,10,2070,149
81,5770,7,2073,150
82,5769,3,2077,151
83,5769,2,2078,151
84,5769,1,2079,151
85,5769,0,2080,151
