,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7994,3,0,3
2,7986,8,0,6
3,7974,14,0,12
4,7964,21,0,15
5,7952,30,1,17
6,7934,41,3,22
7,7918,50,8,24
8,7899,58,14,29
9,7880,69,21,30
10,7856,78,31,35
11,7831,89,44,36
12,7804,98,58,40
13,7776,111,72,41
14,7747,119,90,44
15,7719,127,109,45
16,7686,134,133,47
17,7655,142,156,47
18,7619,149,183,49
19,7579,163,209,49
20,7533,180,236,51
21,7492,190,267,51
22,7447,204,298,51
23,7394,221,332,53
24,7344,230,372,54
25,7290,237,416,57
26,7244,242,457,57
27,7189,251,502,58
28,7124,262,553,61
29,7069,267,602,62
30,7020,264,653,63
31,6975,262,699,64
32,6923,258,753,66
33,6878,241,815,66
34,6831,232,869,68
35,6778,236,917,69
36,6718,250,961,71
37,6660,257,1011,72
38,6605,265,1056,74
39,6531,291,1101,77
40,6455,314,1153,78
41,6381,329,1211,79
42,6309,341,1268,82
43,6233,364,1321,82
44,6160,364,1392,84
45,6073,375,1467,85
46,5993,382,1540,85
47,5911,393,1609,87
48,5825,402,1685,88
49,5734,421,1756,89
50,5674,394,1842,90
51,5622,366,1922,90
52,5576,330,2002,92
53,5539,281,2087,93
54,5508,221,2177,94
55,5492,176,2236,96
56,5481,134,2288,97
57,5473,97,2332,98
58,5464,69,2368,99
59,5452,48,2398,102
60,5441,45,2412,102
61,5428,46,2422,104
62,5417,48,2429,106
63,5404,51,2437,108
64,5395,50,2446,109
65,5388,45,2457,110
66,5382,39,2468,111
67,5380,31,2477,112
68,5380,20,2488,112
69,5377,13,2496,114
70,5377,7,2502,114
71,5376,2,2507,115
72,5375,1,2508,116
73,5373,1,2508,118
74,5371,1,2509,119
75,5369,2,2509,120
76,5368,2,2509,121
77,5366,2,2509,123
78,5366,2,2509,123
79,5365,1,2510,124
80,5365,0,2511,124
