,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7997,3,0,0
2,7993,7,0,0
3,7989,11,0,0
4,7982,18,0,0
5,7973,26,1,0
6,7958,39,3,0
7,7946,47,7,0
8,7933,56,11,0
9,7915,65,18,2
10,7896,74,27,3
11,7874,80,42,4
12,7849,92,54,5
13,7826,102,67,5
14,7801,111,83,5
15,7770,122,101,7
16,7740,131,122,7
17,7710,135,146,9
18,7675,144,169,12
19,7639,155,194,12
20,7595,170,223,12
21,7557,178,253,12
22,7513,194,281,12
23,7469,206,313,12
24,7420,219,349,12
25,7368,224,393,15
26,7315,235,431,19
27,7262,243,475,20
28,7211,249,519,21
29,7158,252,568,22
30,7110,248,617,25
31,7056,253,666,25
32,6993,263,718,26
33,6933,273,768,26
34,6857,297,820,26
35,6781,328,865,26
36,6706,349,919,26
37,6623,369,981,27
38,6546,385,1041,28
39,6470,385,1117,28
40,6391,388,1193,28
41,6300,401,1268,31
42,6211,408,1350,31
43,6121,419,1426,34
44,6032,432,1502,34
45,5955,428,1581,36
46,5873,421,1669,37
47,5779,426,1758,37
48,5683,435,1845,37
49,5583,446,1934,37
50,5503,450,2009,38
51,5437,435,2090,38
52,5393,385,2184,38
53,5353,329,2280,38
54,5322,259,2380,39
55,5295,207,2459,39
56,5270,164,2525,41
57,5257,133,2569,41
58,5245,105,2609,41
59,5234,85,2639,42
60,5228,63,2666,43
61,5222,46,2689,43
62,5216,39,2702,43
63,5210,33,2714,43
64,5202,31,2724,43
65,5188,40,2729,43
66,5177,45,2735,43
67,5167,49,2741,43
68,5160,50,2747,43
69,5151,51,2755,43
70,5142,46,2769,43
71,5135,42,2780,43
72,5126,41,2790,43
73,5119,41,2797,43
74,5106,45,2806,43
75,5096,46,2815,43
76,5086,49,2822,43
77,5076,50,2831,43
78,5066,53,2838,43
79,5053,53,2851,43
80,5043,53,2861,43
81,5029,57,2871,43
82,5019,57,2881,43
83,5011,55,2891,43
84,5003,50,2904,43
85,4995,48,2914,43
86,4989,40,2928,43
87,4985,34,2938,43
88,4981,30,2946,43
89,4977,26,2954,43
90,4971,24,2962,43
91,4964,25,2968,43
92,4957,28,2972,43
93,4955,26,2976,43
94,4951,26,2980,43
95,4948,23,2986,43
96,4943,21,2993,43
97,4939,18,3000,43
98,4932,23,3002,43
99,4927,24,3006,43
100,4925,23,3009,43
101,4925,18,3014,43
102,4925,14,3018,43
103,4925,7,3025,43
104,4924,3,3030,43
105,4924,1,3032,43
106,4924,1,3032,43
107,4924,1,3032,43
108,4924,1,3032,43
109,4924,0,3033,43
