,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7996,4,0,0
2,7991,9,0,0
3,7986,14,0,0
4,7980,20,0,0
5,7972,27,1,0
6,7962,34,4,0
7,7946,45,9,0
8,7928,58,14,0
9,7910,70,20,0
10,7888,84,28,0
11,7866,96,38,0
12,7840,106,54,0
13,7819,107,72,2
14,7796,111,90,3
15,7770,115,112,3
16,7741,122,134,3
17,7709,128,160,3
18,7676,142,179,3
19,7634,162,201,3
20,7593,177,227,3
21,7545,196,256,3
22,7504,205,288,3
23,7461,215,321,3
24,7420,213,363,4
25,7371,221,404,4
26,7314,229,452,5
27,7254,248,493,5
28,7193,266,536,5
29,7132,287,576,5
30,7071,299,625,5
31,7003,311,681,5
32,6934,320,741,5
33,6861,331,802,6
34,6793,337,863,7
35,6720,349,924,7
36,6647,354,992,7
37,6571,359,1061,9
38,6500,358,1133,9
39,6417,374,1200,9
40,6333,385,1273,9
41,6241,403,1346,10
42,6149,421,1420,10
43,6055,444,1491,10
44,5958,458,1574,10
45,5851,481,1658,10
46,5738,503,1749,10
47,5625,524,1841,10
48,5523,532,1935,10
49,5418,540,2032,10
50,5342,509,2139,10
51,5292,446,2252,10
52,5247,378,2365,10
53,5215,307,2467,11
54,5180,237,2572,11
55,5158,182,2648,12
56,5134,156,2698,12
57,5114,131,2743,12
58,5091,123,2774,12
59,5066,113,2809,12
60,5040,118,2830,12
61,5018,115,2854,13
62,4995,118,2874,13
63,4980,110,2897,13
64,4968,97,2922,13
65,4955,84,2948,13
66,4943,74,2969,14
67,4926,68,2992,14
68,4913,66,3007,14
69,4901,66,3019,14
70,4891,63,3032,14
71,4878,65,3043,14
72,4871,55,3060,14
73,4865,48,3073,14
74,4857,44,3085,14
75,4849,42,3095,14
76,4841,37,3108,14
77,4833,38,3115,14
78,4825,40,3121,14
79,4812,45,3129,14
80,4800,48,3137,15
81,4792,47,3145,16
82,4789,42,3153,16
83,4785,38,3161,16
84,4784,26,3174,16
85,4780,19,3185,16
86,4772,20,3192,16
87,4767,21,3195,17
88,4762,21,3199,18
89,4762,20,3200,18
90,4761,17,3204,18
91,4760,10,3212,18
92,4759,7,3216,18
93,4758,4,3220,18
94,4757,5,3220,18
95,4753,6,3221,20
96,4749,9,3222,20
97,4744,13,3223,20
98,4739,17,3224,20
99,4734,21,3225,20
100,4726,27,3227,20
101,4720,29,3231,20
102,4715,29,3236,20
103,4711,28,3241,20
104,4711,23,3246,20
105,4711,15,3254,20
106,4711,9,3260,20
107,4711,4,3265,20
108,4711,0,3269,20
