,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7995,2,0,3
2,7989,4,0,7
3,7980,7,0,13
4,7970,15,0,15
5,7958,22,1,19
6,7946,30,2,22
7,7931,39,4,26
8,7916,50,7,27
9,7894,61,15,30
10,7878,68,23,31
11,7855,77,32,36
12,7833,85,43,39
13,7809,91,57,43
14,7787,94,76,43
15,7755,108,91,46
16,7726,117,109,48
17,7692,130,128,50
18,7661,138,148,53
19,7632,143,170,55
20,7595,148,199,58
21,7561,152,226,61
22,7524,154,258,64
23,7485,163,286,66
24,7446,172,313,69
25,7400,181,347,72
26,7352,195,378,75
27,7312,199,412,77
28,7269,203,449,79
29,7214,218,485,83
30,7179,209,528,84
31,7144,197,573,86
32,7107,196,611,86
33,7063,196,652,89
34,7021,185,703,91
35,6978,193,737,92
36,6926,211,770,93
37,6863,235,807,95
38,6804,253,848,95
39,6743,272,888,97
40,6682,291,930,97
41,6611,310,981,98
42,6532,326,1042,100
43,6462,337,1101,100
44,6384,355,1160,101
45,6308,370,1221,101
46,6232,374,1291,103
47,6161,368,1368,103
48,6085,373,1438,104
49,6006,373,1515,106
50,5967,335,1591,107
51,5938,289,1665,108
52,5918,236,1736,110
53,5905,172,1811,112
54,5895,104,1888,113
55,5886,73,1926,115
56,5879,51,1954,116
57,5866,43,1972,119
58,5850,46,1983,121
59,5839,46,1992,123
60,5829,49,1999,123
61,5816,54,2005,125
62,5806,53,2015,126
63,5792,50,2029,129
64,5783,48,2038,131
65,5779,42,2048,131
66,5773,35,2059,133
67,5765,33,2068,134
68,5759,26,2079,136
69,5752,24,2086,138
70,5748,23,2090,139
71,5746,20,2094,140
72,5742,16,2101,141
73,5736,17,2105,142
74,5734,14,2110,142
75,5730,13,2113,144
76,5726,15,2114,145
77,5722,15,2117,146
78,5719,12,2122,147
79,5714,13,2124,149
80,5711,13,2126,150
81,5708,12,2129,151
82,5703,13,2132,152
83,5700,12,2134,154
84,5698,11,2137,154
85,5697,10,2139,154
86,5695,9,2141,155
87,5692,7,2145,156
88,5692,6,2146,156
89,5691,5,2148,156
90,5690,5,2149,156
91,5689,5,2150,156
92,5689,3,2152,156
93,5689,3,2152,156
94,5689,2,2153,156
95,5689,1,2154,156
96,5689,0,2155,156
