,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7996,4,0,0
2,7991,9,0,0
3,7983,17,0,0
4,7974,26,0,0
5,7961,38,1,0
6,7947,49,4,0
7,7930,61,9,0
8,7912,71,17,0
9,7894,80,26,0
10,7873,88,39,0
11,7845,102,53,0
12,7815,115,70,0
13,7785,127,88,0
14,7755,139,106,0
15,7726,147,127,0
16,7689,156,155,0
17,7649,166,185,0
18,7607,178,215,0
19,7555,200,245,0
20,7506,220,274,0
21,7462,227,311,0
22,7412,237,351,0
23,7361,246,393,0
24,7310,245,445,0
25,7260,246,494,0
26,7208,254,538,0
27,7152,260,588,0
28,7088,273,639,0
29,7031,279,690,0
30,6971,289,740,0
31,6903,305,792,0
32,6841,311,848,0
33,6777,311,912,0
34,6707,324,969,0
35,6619,352,1029,0
36,6538,365,1097,0
37,6455,386,1159,0
38,6370,407,1223,0
39,6279,428,1293,0
40,6179,440,1381,0
41,6077,461,1462,0
42,5984,468,1545,3
43,5898,468,1630,4
44,5801,471,1721,7
45,5712,459,1821,8
46,5613,455,1923,9
47,5518,459,2013,10
48,5414,478,2098,10
49,5307,491,2192,10
50,5241,469,2280,10
51,5184,428,2378,10
52,5148,369,2472,11
53,5108,305,2576,11
54,5075,231,2683,11
55,5044,196,2749,11
56,5010,173,2806,11
57,4982,166,2841,11
58,4956,152,2881,11
59,4932,143,2914,11
60,4913,131,2945,11
61,4901,109,2979,11
62,4892,90,3007,11
63,4880,76,3033,11
64,4866,66,3057,11
65,4849,64,3076,11
66,4836,65,3088,11
67,4828,64,3097,11
68,4818,62,3109,11
69,4802,64,3123,11
70,4790,59,3140,11
71,4781,55,3153,11
72,4775,53,3161,11
73,4770,46,3171,13
74,4768,32,3187,13
75,4768,20,3199,13
76,4764,15,3208,13
77,4762,11,3214,13
78,4760,10,3217,13
79,4758,10,3219,13
80,4756,12,3219,13
81,4754,10,3223,13
82,4753,9,3225,13
83,4753,7,3227,13
84,4753,5,3229,13
85,4753,3,3231,13
86,4753,1,3233,13
87,4753,0,3234,13
