,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7995,5,0,0
2,7991,9,0,0
3,7983,17,0,0
4,7975,25,0,0
5,7968,31,1,0
6,7958,37,5,0
7,7945,46,9,0
8,7930,53,17,0
9,7914,61,25,0
10,7894,74,32,0
11,7872,86,42,0
12,7849,96,55,0
13,7825,105,70,0
14,7798,116,86,0
15,7767,127,106,0
16,7739,133,128,0
17,7704,143,151,2
18,7668,153,175,4
19,7635,159,202,4
20,7597,165,233,5
21,7562,172,261,5
22,7520,181,294,5
23,7471,196,328,5
24,7418,216,361,5
25,7357,240,398,5
26,7301,261,433,5
27,7248,271,475,6
28,7195,274,524,7
29,7136,279,577,8
30,7081,273,638,8
31,7010,288,694,8
32,6938,305,746,11
33,6872,319,798,11
34,6804,328,856,12
35,6732,345,911,12
36,6661,345,982,12
37,6595,342,1051,12
38,6512,359,1117,12
39,6423,381,1184,12
40,6332,400,1256,12
41,6244,417,1327,12
42,6162,433,1393,12
43,6066,446,1476,12
44,5971,452,1565,12
45,5887,445,1656,12
46,5806,438,1744,12
47,5704,458,1826,12
48,5605,461,1922,12
49,5493,478,2017,12
50,5436,451,2101,12
51,5394,412,2182,12
52,5354,350,2284,12
53,5324,281,2383,12
54,5296,197,2495,12
55,5278,158,2552,12
56,5260,134,2594,12
57,5238,116,2634,12
58,5219,105,2664,12
59,5203,91,2692,14
60,5192,84,2710,14
61,5183,75,2728,14
62,5168,68,2750,14
63,5155,62,2769,14
64,5146,57,2783,14
65,5137,55,2794,14
66,5128,55,2803,14
67,5125,43,2818,14
68,5120,35,2831,14
69,5114,32,2840,14
70,5107,30,2849,14
71,5102,26,2858,14
72,5096,29,2861,14
73,5091,29,2866,14
74,5088,26,2872,14
75,5085,22,2879,14
76,5081,21,2884,14
77,5076,20,2890,14
78,5070,21,2895,14
79,5069,19,2898,14
80,5068,17,2901,14
81,5067,14,2905,14
82,5064,12,2910,14
83,5063,7,2916,14
84,5062,7,2917,14
85,5061,7,2918,14
86,5061,6,2919,14
87,5061,3,2922,14
88,5061,2,2923,14
89,5061,1,2924,14
90,5061,0,2925,14
