truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguish_1_cell,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Parallel attack,0,10,15,↖ North/West,1,0,6.0,5.2727272727272725,1.0,6.2727272727272725,2.909090909090909,3.272727272727273,6397.909090909091,2.090909090909091,0.026136363636363638
Parallel attack,0,10,15,↖ North/West,1,1,6.0,14.909090909090908,1.0,15.909090909090908,5.636363636363637,12.636363636363637,6390.090909090909,9.909090909090908,0.12386363636363637
Parallel attack,0,10,15,↖ North/West,2,0,6.0,7.909090909090909,1.0,8.909090909090908,4.0,5.636363636363637,6395.818181818182,4.181818181818182,0.05227272727272727
Parallel attack,0,10,15,↖ North/West,2,1,6.0,18.09090909090909,1.0,19.09090909090909,6.363636363636363,12.909090909090908,6388.818181818182,11.181818181818182,0.13977272727272727
Parallel attack,0,10,15,↖ North/West,6,0,81.81818181818181,213.1818181818182,2590.6363636363635,2803.818181818182,28.90909090909091,7.909090909090909,3597.6363636363635,2802.3636363636365,35.029545454545456
Parallel attack,0,10,15,↖ North/West,6,1,85.36363636363636,195.8181818181818,2758.818181818182,2954.6363636363635,26.363636363636363,8.090909090909092,3446.7272727272725,2953.2727272727275,36.91590909090909
Parallel attack,0,10,15,↗ North/East,1,0,6.0,5.2727272727272725,1.0,6.2727272727272725,3.090909090909091,3.727272727272727,6398.181818181818,1.8181818181818181,0.022727272727272728
Parallel attack,0,10,15,↗ North/East,1,1,6.0,14.181818181818182,1.0,15.181818181818182,5.818181818181818,9.272727272727273,6391.363636363636,8.636363636363637,0.10795454545454546
Parallel attack,0,10,15,↗ North/East,2,0,6.0,8.454545454545455,1.0,9.454545454545455,3.909090909090909,5.2727272727272725,6395.909090909091,4.090909090909091,0.05113636363636364
Parallel attack,0,10,15,↗ North/East,2,1,6.090909090909091,19.09090909090909,1.0909090909090908,20.181818181818183,6.454545454545454,11.727272727272727,6388.363636363636,11.636363636363637,0.14545454545454548
Parallel attack,0,10,15,↗ North/East,6,0,79.45454545454545,177.8181818181818,2653.7272727272725,2831.5454545454545,27.181818181818183,8.454545454545455,3569.7272727272725,2830.2727272727275,35.378409090909095
Parallel attack,0,10,15,↗ North/East,6,1,84.18181818181819,176.54545454545453,2724.818181818182,2901.3636363636365,26.363636363636363,8.0,3500.0,2900.0,36.25
