truck_strategy,break_width,num_firetruck,max_speed,wind_dir,steps_to_extinguish_1_cell,placed_on_edges,Number_of_steps_to_ExtinguishFire,Number_of_extinguished_firecell,Number_of_burned_out_cell,Number_of_cells_on_fire,Maximum_growthrate_firecell_perstep,Maximum_extinguishedrate_firecell_perstep,Count_healthy_trees,Count_unhealthy_trees,Percentage_damaged_burnedtrees
Indirect attack,0,50,20,↗ North/East,1,0,87.81818182,185.6363636,1904.454545,2090.090909,27.36363636,20.45454545,4494.545455,1905.454545,23.81818182
Indirect attack,0,50,20,↗ North/East,1,1,99.72727273,188.9090909,1818.909091,2007.818182,34.63636364,28.54545455,4581.090909,1818.909091,22.73636364
Indirect attack,0,50,20,↗ North/East,2,0,97.81818182,184.3636364,1883.363636,2067.727273,26.72727273,20,4514,1886,23.575
Indirect attack,0,50,20,↗ North/East,2,1,76.45454545,236.0909091,1450.818182,1686.909091,33.45454545,31.36363636,4917.727273,1482.272727,18.52840909
Indirect attack,0,50,20,↗ North/East,6,0,82.81818182,174.8181818,1773.909091,1948.727273,26.72727273,19.81818182,4626.090909,1773.909091,22.17386364
Indirect attack,0,50,20,↗ North/East,6,1,82.18181818,203.8181818,1711,1914.818182,34.63636364,29.18181818,4678.090909,1721.909091,21.52386364
Indirect attack,0,50,20,↘ South/East,1,0,92.81818182,179,1865.909091,2044.909091,25.63636364,18.36363636,4534.090909,1865.909091,23.32386364
Indirect attack,0,50,20,↘ South/East,1,1,70.63636364,188.3636364,1391.454545,1579.818182,33.90909091,27.45454545,5005.909091,1394.090909,17.42613636
Indirect attack,0,50,20,↘ South/East,2,0,83.36363636,177.5454545,2019.727273,2197.272727,26.45454545,19.18181818,4380.272727,2019.727273,25.24659091
Indirect attack,0,50,20,↘ South/East,2,1,93.45454545,192.5454545,1829.272727,2021.818182,33.18181818,29.18181818,4570.727273,1829.272727,22.86590909
Indirect attack,0,50,20,↘ South/East,6,0,86.81818182,177,1779.363636,1956.363636,25.54545455,18.81818182,4620.636364,1779.363636,22.24204545
Indirect attack,0,50,20,↘ South/East,6,1,88.90909091,194.6363636,1867.090909,2061.727273,34.63636364,29.63636364,4527.909091,1872.090909,23.40113636
Indirect attack,0,50,20,↙ South/West,1,0,95.72727273,187,1807.090909,1994.090909,25.27272727,18.81818182,4591.727273,1808.272727,22.60340909
Indirect attack,0,50,20,↙ South/West,1,1,67.09090909,205.6363636,1210.727273,1416.363636,34.45454545,30.90909091,5179.363636,1220.636364,15.25795455
Indirect attack,0,50,20,↙ South/West,2,0,93,185.1818182,1846.727273,2031.909091,27.54545455,21.90909091,4548.727273,1851.272727,23.14090909
Indirect attack,0,50,20,↙ South/West,2,1,83.18181818,205.6363636,1683.454545,1889.090909,35.45454545,30.36363636,4705.090909,1694.909091,21.18636364
Indirect attack,0,50,20,↙ South/West,6,0,86.27272727,187.0909091,1851.727273,2038.818182,25.36363636,19.45454545,4545.909091,1854.090909,23.17613636
Indirect attack,0,50,20,↙ South/West,6,1,83.81818182,199.7272727,1848.272727,2048,33.81818182,28.90909091,4543.363636,1856.636364,23.20795455
Indirect attack,0,50,25,↖ North/West,1,0,83.27272727,172,2235.727273,2407.727273,26.27272727,18,4164.272727,2235.727273,27.94659091
Indirect attack,0,50,25,↖ North/West,1,1,81.45454545,192.7272727,1744.636364,1937.363636,30.72727273,27.90909091,4649.272727,1750.727273,21.88409091
Indirect attack,0,50,25,↖ North/West,2,0,100.8181818,174.6363636,2224,2398.636364,26,17,4176,2224,27.8
Indirect attack,0,50,25,↖ North/West,2,1,79.18181818,190.3636364,1680.090909,1870.454545,29.54545455,24.09090909,4718.363636,1681.636364,21.02045455
Indirect attack,0,50,25,↖ North/West,6,0,92.72727273,182.1818182,1838.272727,2020.454545,24.45454545,18.09090909,4559.272727,1840.727273,23.00909091
Indirect attack,0,50,25,↖ North/West,6,1,92.81818182,188.5454545,1915,2103.545455,29.72727273,24.09090909,4485,1915,23.9375
Indirect attack,0,50,25,↗ North/East,1,0,92.81818182,174.7272727,2018.090909,2192.818182,26.36363636,17,4381.909091,2018.090909,25.22613636
Indirect attack,0,50,25,↗ North/East,1,1,79,191.5454545,1847.727273,2039.272727,29.81818182,24.45454545,4547.363636,1852.636364,23.15795455
Indirect attack,0,50,25,↗ North/East,2,0,77.09090909,170.5454545,1728.090909,1898.636364,26,18.09090909,4671.909091,1728.090909,21.60113636
Indirect attack,0,50,25,↗ North/East,2,1,84.18181818,185.2727273,1863,2048.272727,30.36363636,24.81818182,4537,1863,23.2875
Indirect attack,0,50,25,↗ North/East,6,0,90.45454545,174.6363636,2017.636364,2192.272727,27.45454545,17.36363636,4382.363636,2017.636364,25.22045455
Indirect attack,0,50,25,↗ North/East,6,1,83.36363636,188.2727273,1785.090909,1973.363636,30.18181818,23.54545455,4613.272727,1786.727273,22.33409091
Indirect attack,0,50,25,↘ South/East,1,0,83.90909091,178.3636364,1832.909091,2011.272727,27.54545455,18,4566.090909,1833.909091,22.92386364
Indirect attack,0,50,25,↘ South/East,1,1,96.63636364,185.5454545,2160.363636,2345.909091,31.90909091,24.54545455,4239.636364,2160.363636,27.00454545
Indirect attack,0,50,25,↘ South/East,2,0,89.09090909,179.4545455,1871.272727,2050.727273,25.54545455,18.81818182,4528.727273,1871.272727,23.39090909
Indirect attack,0,50,25,↘ South/East,2,1,82.36363636,187.0909091,1794.727273,1981.818182,30.63636364,24.81818182,4603.909091,1796.090909,22.45113636
Indirect attack,0,50,25,↘ South/East,6,0,81.54545455,177.4545455,1882.272727,2059.727273,26.45454545,19.36363636,4517.727273,1882.272727,23.52840909
Indirect attack,0,50,25,↘ South/East,6,1,92.27272727,188.3636364,2206,2394.363636,31.72727273,24.63636364,4192.363636,2207.636364,27.59545455
Indirect attack,0,50,25,↙ South/West,1,0,87.81818182,170,2228.363636,2398.363636,25.90909091,17.90909091,4171.636364,2228.363636,27.85454545
Indirect attack,0,50,25,↙ South/West,1,1,87.81818182,185.9090909,1813.090909,1999,31.36363636,24,4586.909091,1813.090909,22.66363636
