,Fine,On Fire,Burned Out,Extinguished
0,7999,1,0,0
1,7991,4,0,5
2,7987,6,0,7
3,7973,12,0,15
4,7962,21,0,17
5,7945,30,1,24
6,7930,39,4,27
7,7909,52,6,33
8,7889,63,12,36
9,7865,74,21,40
10,7837,88,31,44
11,7805,104,43,48
12,7774,117,58,51
13,7740,132,75,53
14,7710,139,95,56
15,7677,147,119,57
16,7639,154,147,60
17,7598,166,175,61
18,7547,179,207,67
19,7513,185,234,68
20,7469,192,266,73
21,7416,208,301,75
22,7362,218,341,79
23,7299,233,386,82
24,7238,255,419,88
25,7183,270,458,89
26,7123,275,509,93
27,7067,278,559,96
28,7003,279,619,99
29,6937,286,674,103
30,6874,293,728,105
31,6807,300,784,109
32,6750,303,837,110
33,6693,297,898,112
34,6641,284,960,115
35,6588,274,1021,117
36,6533,263,1084,120
37,6484,254,1140,122
38,6434,248,1195,123
39,6371,260,1244,125
40,6297,281,1295,127
41,6232,293,1347,128
42,6165,311,1394,130
43,6099,326,1443,132
44,6023,340,1504,133
45,5933,356,1576,135
46,5828,395,1640,137
47,5723,434,1705,138
48,5615,476,1769,140
49,5501,513,1844,142
50,5416,509,1932,143
51,5344,476,2035,145
52,5275,439,2139,147
53,5221,386,2245,148
54,5172,321,2357,150
55,5113,294,2441,152
56,5067,270,2511,152
57,5023,245,2578,154
58,4989,226,2631,154
59,4950,216,2678,156
60,4922,187,2735,156
61,4890,171,2781,158
62,4873,145,2823,159
63,4859,124,2857,160
64,4843,102,2894,161
65,4826,89,2922,163
66,4814,71,2952,163
67,4796,71,2968,165
68,4774,79,2981,166
69,4759,78,2996,167
70,4742,79,3011,168
71,4731,78,3023,168
72,4722,71,3039,168
73,4712,59,3060,169
74,4701,56,3074,169
75,4690,50,3090,170
76,4679,49,3101,171
77,4674,45,3110,171
78,4668,41,3119,172
79,4662,36,3130,172
80,4655,33,3140,172
81,4650,28,3150,172
82,4646,27,3155,172
83,4644,24,3160,172
84,4639,23,3166,172
85,4637,18,3173,172
86,4635,15,3178,172
87,4635,11,3182,172
88,4634,10,3184,172
89,4632,7,3189,172
90,4632,5,3191,172
91,4632,3,3193,172
92,4631,4,3193,172
93,4631,3,3194,172
94,4631,1,3196,172
95,4631,1,3196,172
96,4631,1,3196,172
97,4631,0,3197,172
